Quarter,Time,Down,ToGo,Location,Detail,CLE,HOU,EPB,EPA
1,15:00,,,CLE 35,Greg Joseph kicks off 67 yards returned by DeAndre Carter for 23 yards (tackle by Tavierre Thomas),0,0,0.000,-0.340
1,14:54,1,10,HTX 21,Lamar Miller right end for 6 yards (tackle by Emmanuel Ogbah),0,0,0.340,0.610
1,14:28,2,4,HTX 27,Deshaun Watson pass complete short middle to Demaryius Thomas for 15 yards (tackle by Jabrill Peppers),0,0,0.610,1.730
1,14:00,1,10,HTX 42,Lamar Miller middle for 6 yards (tackle by T.J. Carrie),0,0,1.730,2.000
1,13:40,2,4,HTX 48,Lamar Miller left tackle for 15 yards (tackle by Damarious Randall),0,0,2.000,3.120
1,13:15,1,10,CLE 37,Alfred Blue left tackle for 9 yards (tackle by Jamie Collins),0,0,3.120,3.790
1,12:41,2,1,CLE 28,Alfred Blue middle for 2 yards (tackle by Joe Schobert and Jabrill Peppers),0,0,3.790,3.840
1,12:04,1,10,CLE 26,Deshaun Watson sacked by Myles Garrett for -7 yards,0,0,3.840,2.350
1,11:23,2,17,CLE 33,Deshaun Watson pass complete short left to DeAndre Hopkins for 2 yards (tackle by Briean Boddy-Calhoun),0,0,2.350,1.950
1,10:44,3,15,CLE 31,Deshaun Watson pass complete short right to DeAndre Hopkins for 17 yards,0,0,1.950,4.650
1,10:23,1,10,CLE 14,Lamar Miller right tackle for -7 yards (tackle by Emmanuel Ogbah and Genard Avery),0,0,4.650,3.150
1,9:42,2,17,CLE 21,Deshaun Watson sacked by Emmanuel Ogbah for -3 yards,0,0,3.150,2.080
1,8:58,3,20,CLE 24,Deshaun Watson pass complete short left to Demaryius Thomas for 8 yards (tackle by T.J. Carrie),0,0,2.080,2.380
1,8:15,4,12,CLE 16,Ka'imi Fairbairn 35 yard field goal good. Penalty on Derrick Kindred: Running Into the Kicker (Declined),0,3,2.380,3.000
1,8:12,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards returned by Jabrill Peppers for 27 yards (tackle by Sammie Coates),0,3,0.000,-0.740
1,8:02,1,10,CLE 27,Nick Chubb right guard for 6 yards (tackle by Tyrann Mathieu and Zach Cunningham),0,3,0.740,1.010
1,7:25,2,4,CLE 33,Nick Chubb left end for -1 yards (tackle by Whitney Mercilus and Benardrick McKinney),0,3,1.010,0.170
1,6:41,3,5,CLE 32,Baker Mayfield pass incomplete short right intended for Antonio Callaway (defended by Zach Cunningham),0,3,0.170,-1.240
1,6:38,4,5,CLE 32,Britton Colquitt punts 40 yards returned by DeAndre Carter for 48 yards (tackle by Tanner Vallejo). DeAndre Carter fumbles (forced by Tanner Vallejo) recovered by Gregory Howell at CLE-11 and returned for 7 yards (tackle by Phillip Gaines). Penalty on Johnson Bademosi: Offensive Holding 10 yards,0,3,-1.240,-0.040
1,6:16,1,10,HTX 18,Lamar Miller right guard for 1 yard (tackle by Jamie Collins and Brian Price),0,3,0.040,-0.320
1,5:43,2,9,HTX 19,Deshaun Watson pass complete short left to Jordan Thomas for 15 yards (tackle by Chris Smith),0,3,-0.320,1.200
1,5:14,1,10,HTX 34,Lamar Miller right tackle for 1 yard (tackle by Brian Price),0,3,1.200,0.790
1,4:32,2,9,HTX 35,Lamar Miller middle for -3 yards (tackle by Denzel Ward),0,3,0.790,-0.300
1,3:58,3,12,HTX 32,Deshaun Watson pass complete short middle to Lamar Miller for 12 yards (tackle by Derrick Kindred and Jamie Collins),0,3,-0.300,1.860
1,3:17,1,10,HTX 44,Lamar Miller middle for 15 yards (tackle by Damarious Randall),0,3,1.860,2.850
1,2:41,1,10,CLE 41,Deshaun Watson middle for 3 yards (tackle by Derrick Kindred),0,3,2.850,2.710
1,1:56,2,7,CLE 38,Deshaun Watson pass complete deep left to DeAndre Hopkins for 24 yards (tackle by T.J. Carrie),0,3,2.710,4.650
1,1:17,1,10,CLE 14,Alfred Blue right tackle for 3 yards (tackle by Brian Price and Anthony Zettel),0,3,4.650,4.520
1,0:44,2,7,CLE 11,Deshaun Watson pass complete short right to Jordan Thomas for 11 yards touchdown,0,9,4.520,7.000
1,0:38,,,CLE 15,Ka'imi Fairbairn kicks extra point good,0,10,0.000,0.000
1,0:38,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,0,10,0.000,-0.610
1,0:38,1,10,CLE 25,Baker Mayfield pass complete short left to Antonio Callaway for 6 yards (tackle by Justin Reid),0,10,0.610,0.870
1,0:02,2,4,CLE 31,Baker Mayfield pass complete short left to Jarvis Landry for 16 yards (tackle by Shareece Wright and Tyrann Mathieu),0,10,0.870,2.060
2,15:00,1,10,CLE 47,Baker Mayfield pass complete short right to Jarvis Landry for 7 yards (tackle by Johnathan Joseph),0,10,2.060,2.460
2,14:24,2,3,HTX 46,Baker Mayfield pass complete short right to David Njoku for -5 yards (tackle by D.J. Reader),0,10,2.460,1.090
2,13:33,3,8,CLE 49,Baker Mayfield pass incomplete deep right intended for Duke Johnson,0,10,1.090,-0.130
2,13:27,4,8,CLE 49,Britton Colquitt punts 51 yards touchback,0,10,-0.130,-0.280
2,13:18,1,10,HTX 20,Alfred Blue middle for 1 yard (tackle by Emmanuel Ogbah),0,10,0.280,-0.130
2,12:46,2,9,HTX 21,Deshaun Watson pass complete short right to DeAndre Carter for 11 yards (tackle by Emmanuel Ogbah),0,10,-0.130,1.070
2,12:13,1,10,HTX 32,Alfred Blue left guard for 5 yards (tackle by Trevon Coley and Joe Schobert),0,10,1.070,1.200
2,11:43,2,5,HTX 37,Deshaun Watson pass complete short right to DeAndre Carter for 4 yards (tackle by Jabrill Peppers),0,10,1.200,1.030
2,11:03,3,1,HTX 41,Deshaun Watson pass complete short left to Ryan Griffin for 12 yards (tackle by Damarious Randall),0,10,1.030,2.460
2,10:30,1,10,CLE 47,Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins,0,10,2.460,1.910
2,10:23,2,10,CLE 47,Deshaun Watson pass complete short right to DeAndre Carter for 2 yards (tackle by Tanner Vallejo),0,10,1.910,1.490
2,9:47,3,8,CLE 45,Deshaun Watson right end for 5 yards (tackle by Jabrill Peppers),0,10,1.490,0.590
2,9:10,4,3,CLE 40,Trevor Daniel punts 29 yards fair catch by Jabrill Peppers,0,10,0.590,0.370
2,9:02,1,10,CLE 11,Nick Chubb left end for 8 yards (tackle by Angelo Blackson and Justin Reid),0,10,-0.370,0.170
2,8:24,2,2,CLE 19,Nick Chubb right tackle for 4 yards (tackle by Whitney Mercilus),0,10,0.170,0.480
2,7:45,1,10,CLE 23,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by J.J. Watt),0,10,0.480,-0.070
2,7:42,2,10,CLE 23,Baker Mayfield pass incomplete short right intended for David Njoku (defended by Tyrann Mathieu). Penalty on Tyrann Mathieu: Defensive Holding 5 yards (no play),0,10,-0.070,0.810
2,7:36,1,10,CLE 28,Baker Mayfield pass incomplete short middle intended for Antonio Callaway is intercepted by Zach Cunningham at CLE-38 and returned for 38 yards touchdown. Penalty on Greg Robinson: Offensive Holding (Declined),0,16,0.810,-7.000
2,,,,,Ka'imi Fairbairn kicks extra point good,0,17,0.000,0.000
2,7:26,,,HTX 35,Ka'imi Fairbairn kicks off 63 yards returned by Dontrell Hilliard for 18 yards (tackle by Johnson Bademosi),0,17,0.000,-0.280
2,7:21,1,10,CLE 20,Baker Mayfield pass incomplete deep right intended for Antonio Callaway. Penalty on Kareem Jackson: Defensive Pass Interference 47 yards (no play),0,17,0.280,3.380
2,7:13,1,10,HTX 33,Nick Chubb middle for 3 yards (tackle by J.J. Watt). Penalty on David Njoku: Offensive Holding 10 yards (no play),0,17,3.380,2.720
2,6:47,1,20,HTX 43,Baker Mayfield pass incomplete short right intended for Antonio Callaway is intercepted by Johnathan Joseph at HOU-31 and returned for 18 yards,0,17,2.720,-2.190
2,6:37,1,10,HTX 49,Lamar Miller for 9 yards (tackle by T.J. Carrie),0,17,2.190,2.860
2,5:58,2,1,CLE 42,Lamar Miller right end for 1 yard (tackle by Denzel Ward and Joe Schobert),0,17,2.860,2.850
2,5:15,1,10,CLE 41,Deshaun Watson pass complete short left to Jordan Akins for 13 yards (tackle by T.J. Carrie and Derrick Kindred),0,17,2.850,3.710
2,4:41,1,10,CLE 28,Lamar Miller right guard for 3 yards (tackle by Joe Schobert),0,17,3.710,3.570
2,4:08,2,7,CLE 25,Deshaun Watson pass incomplete deep left intended for Demaryius Thomas,0,17,3.570,2.870
2,4:03,3,7,CLE 25,Deshaun Watson pass complete short right to DeAndre Hopkins for 1 yard (tackle by T.J. Carrie),0,17,2.870,1.890
2,3:24,4,6,CLE 24,Ka'imi Fairbairn 42 yard field goal good,0,20,1.890,3.000
2,3:19,,,HTX 35,Ka'imi Fairbairn kicks off 60 yards returned by Dontrell Hilliard for 24 yards (tackle by Sammie Coates),0,20,0.000,-0.870
2,3:12,1,10,CLE 29,Nick Chubb right end for 11 yards (tackle by Benardrick McKinney),0,20,0.870,1.600
2,2:49,1,10,CLE 40,Baker Mayfield pass complete deep right to Jarvis Landry for 22 yards (tackle by Andre Hal),0,20,1.600,3.050
2,2:04,1,10,HTX 38,Baker Mayfield pass incomplete,0,20,3.050,2.510
2,1:57,2,10,HTX 38,Baker Mayfield pass incomplete short middle intended for Seth Devalve (defended by Justin Reid),0,20,2.510,1.820
2,1:52,3,10,HTX 38,Baker Mayfield pass incomplete deep right intended for David Njoku is intercepted by Andre Hal at HOU-0,0,20,1.820,-0.280
2,1:44,1,10,HTX 20,Lamar Miller middle for -1 yards (tackle by Jamie Collins),0,20,0.280,-0.460
2,1:38,,,,Timeout #1 by Cleveland Browns,0,20,,
2,1:38,2,11,HTX 19,Deshaun Watson pass complete deep middle to DeAndre Hopkins for 29 yards (tackle by Damarious Randall),0,20,-0.460,2.130
2,1:09,1,10,HTX 48,Deshaun Watson middle for 11 yards (tackle by Phillip Gaines),0,20,2.130,2.850
2,1:01,1,10,CLE 41,Deshaun Watson pass complete short right to Demaryius Thomas for 9 yards (tackle by Phillip Gaines),0,20,2.850,3.520
2,0:56,2,1,CLE 32,Deshaun Watson sacked by Myles Garrett and Joe Schobert for -4 yards,0,20,3.520,2.280
2,0:49,3,5,CLE 36,Deshaun Watson pass complete short right to DeAndre Hopkins for 6 yards (tackle by T.J. Carrie),0,20,2.280,3.580
2,0:49,,,,Timeout #2 by Cleveland Browns,0,20,,
2,0:23,,,,Timeout #1 by Houston Texans,0,20,,
2,0:23,1,10,CLE 30,Deshaun Watson pass incomplete,0,20,3.580,3.030
2,0:17,2,10,CLE 30,Deshaun Watson pass incomplete,0,20,3.030,2.340
2,0:09,3,10,CLE 30,Deshaun Watson pass incomplete short middle intended for DeAndre Hopkins,0,20,2.340,1.410
2,0:05,4,10,CLE 30,Ka'imi Fairbairn 48 yard field goal good,0,23,1.410,3.000
2,0:01,,,HTX 35,Ka'imi Fairbairn kicks off 39 yards returned by Orson Charles for 12 yards (tackle by Sammie Coates),0,23,0.000,2.260
3,15:00,,,HTX 35,Ka'imi Fairbairn kicks off 66 yards returned by Dontrell Hilliard for 26 yards (tackle by Michael Tyson),0,23,0.000,-0.610
3,14:53,1,10,CLE 25,Nick Chubb left guard for 3 yards (tackle by Benardrick McKinney and Brandon Dunn),0,23,0.610,0.470
3,14:15,2,7,CLE 28,Baker Mayfield pass complete deep middle to Rashard Higgins for 19 yards (tackle by Tyrann Mathieu),0,23,0.470,2.060
3,13:35,1,10,CLE 47,Nick Chubb right end for -1 yards (tackle by Shareece Wright),0,23,2.060,1.380
3,12:56,2,11,CLE 46,Baker Mayfield pass complete short middle to Nick Chubb for 8 yards (tackle by Benardrick McKinney),0,23,1.380,1.750
3,12:10,3,3,HTX 46,Baker Mayfield pass complete short left to David Njoku for 4 yards (tackle by Kareem Jackson and Aaron Colvin),0,23,1.750,2.790
3,11:31,1,10,HTX 42,Baker Mayfield pass complete short middle to Duke Johnson for 7 yards (tackle by Tyrann Mathieu). Penalty on Rashard Higgins: Offensive Holding 10 yards,0,23,2.790,2.590
3,11:06,1,13,HTX 45,Baker Mayfield pass complete short right to Nick Chubb for 24 yards (tackle by Zach Cunningham),0,23,2.590,4.170
3,10:12,,,,Timeout #1 by Cleveland Browns,0,23,,
3,10:12,1,10,HTX 21,Baker Mayfield pass complete short right to Seth Devalve for 19 yards (tackle by Tyrann Mathieu),0,23,4.170,6.740
3,9:42,1,2,HTX 2,Nick Chubb middle for 2 yards touchdown,6,23,6.740,7.000
3,9:39,,,HTX 15,Greg Joseph kicks extra point good,7,23,0.000,0.000
3,9:39,,,CLE 35,Greg Joseph kicks off 65 yards touchback,7,23,0.000,-0.610
3,9:39,1,10,HTX 25,Lamar Miller right guard for 3 yards (tackle by Joe Schobert and Tanner Vallejo),7,23,0.610,0.470
3,9:08,2,7,HTX 28,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins (defended by T.J. Carrie),7,23,0.470,-0.230
3,9:03,3,7,HTX 28,Deshaun Watson left end for 8 yards (tackle by Phillip Gaines). Penalty on T.J. Carrie: Defensive Holding 5 yards,7,23,-0.230,1.660
3,8:33,1,10,HTX 41,Deshaun Watson sacked by Briean Boddy-Calhoun for -8 yards. Penalty on T.J. Carrie: Defensive Holding 5 yards (no play),7,23,1.660,1.990
3,8:07,1,10,HTX 46,Lamar Miller left end for 9 yards (tackle by Damarious Randall),7,23,1.990,2.670
3,7:34,2,1,CLE 45,Lamar Miller left guard for 3 yards (tackle by Jabrill Peppers and Joe Schobert),7,23,2.670,2.790
3,6:55,1,10,CLE 42,Lamar Miller left guard for 1 yard (tackle by Genard Avery and Trevon Coley),7,23,2.790,2.380
3,6:14,2,9,CLE 41,Deshaun Watson pass complete short middle to Jordan Thomas for 6 yards (tackle by Damarious Randall and Phillip Gaines),7,23,2.380,2.480
3,5:36,3,3,CLE 35,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins,7,23,2.480,0.990
3,5:31,4,3,CLE 35,Ka'imi Fairbairn 53 yard field goal good,7,26,0.990,3.000
3,5:26,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,7,26,0.000,-0.610
3,5:26,1,10,CLE 25,Nick Chubb middle for -1 yards (tackle by J.J. Watt),7,26,0.610,-0.070
3,4:47,2,11,CLE 24,Baker Mayfield pass complete deep right to Antonio Callaway for 76 yards. Penalty on Greg Robinson: Offensive Holding 10 yards (no play),7,26,-0.070,-1.540
3,4:37,2,21,CLE 14,Baker Mayfield pass complete short right to Nick Chubb for 9 yards (tackle by Shareece Wright),7,26,-1.540,-0.890
3,3:55,3,12,CLE 23,Baker Mayfield pass complete deep middle to Antonio Callaway for 71 yards (tackle by Justin Reid). Antonio Callaway fumbles (forced by Justin Reid) recovered by Aaron Colvin at HOU--2 (tackle by Breshad Perriman),7,26,-0.890,0.380
3,3:35,1,10,HTX 7,Alfred Blue right tackle for 1 yard (tackle by Tanner Vallejo),7,26,-0.380,-0.710
3,2:57,2,9,HTX 8,Deshaun Watson pass complete short middle to DeAndre Carter for 8 yards (tackle by Phillip Gaines),7,26,-0.710,-0.370
3,2:15,3,1,HTX 16,Deshaun Watson right guard for 2 yards (tackle by Brian Price and Joe Schobert),7,26,-0.370,0.040
3,1:39,1,10,HTX 18,Alfred Blue middle for 17 yards (tackle by Derrick Kindred),7,26,0.040,1.270
3,1:09,1,10,HTX 35,Penalty on Senio Kelemete: False Start 5 yards (no play),7,26,1.270,0.940
3,0:50,1,15,HTX 30,Deshaun Watson pass incomplete short right intended for DeAndre Hopkins (defended by Chris Smith),7,26,0.940,0.050
3,0:45,2,15,HTX 30,Deshaun Watson pass complete short right to DeAndre Carter for 7 yards (tackle by Trevon Coley and Derrick Kindred),7,26,0.050,0.300
4,15:00,3,8,HTX 37,Deshaun Watson pass complete short right to DeAndre Hopkins for 12 yards (tackle by T.J. Carrie and Jabrill Peppers),7,26,0.300,2.190
4,14:26,1,10,HTX 49,Alfred Blue left tackle for 2 yards (tackle by Trevon Coley and Anthony Zettel),7,26,2.190,1.920
4,13:43,2,8,CLE 49,Alfred Blue right guard for 4 yards (tackle by Joe Schobert and Trevon Coley),7,26,1.920,1.750
4,13:01,3,4,CLE 45,Deshaun Watson sacked by Genard Avery for -13 yards,7,26,1.750,-0.590
4,12:27,4,17,HTX 42,Trevor Daniel punts 52 yards,7,26,-0.590,0.380
4,12:16,1,10,CLE 6,Baker Mayfield pass complete deep left to Jarvis Landry for 25 yards (tackle by Justin Reid),7,26,-0.380,1.000
4,11:36,1,10,CLE 31,Baker Mayfield pass complete deep right to Jarvis Landry for 28 yards,7,26,1.000,2.850
4,10:57,1,10,HTX 41,Baker Mayfield pass incomplete short right intended for David Njoku,7,26,2.850,2.310
4,10:48,2,10,HTX 41,Baker Mayfield pass complete short right to Duke Johnson for 5 yards (tackle by Tyrann Mathieu),7,26,2.310,2.280
4,10:00,3,5,HTX 36,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,7,26,2.280,0.880
4,9:50,4,5,HTX 36,Baker Mayfield pass incomplete deep middle intended for David Njoku (defended by Tyrann Mathieu),7,26,0.880,-1.330
4,9:45,1,10,HTX 36,Lamar Miller left end for 6 yards (tackle by Damarious Randall and Phillip Gaines),7,26,1.330,1.600
4,9:03,2,4,HTX 42,Lamar Miller right guard for 3 yards (tackle by Brian Price),7,26,1.600,1.290
4,8:18,3,1,HTX 45,Deshaun Watson middle for 2 yards (tackle by Chris Smith and Emmanuel Ogbah),7,26,1.290,2.060
4,7:33,1,10,HTX 47,Lamar Miller left tackle for 32 yards (tackle by Damarious Randall),7,26,2.060,4.170
4,6:56,1,10,CLE 21,Alfred Blue right tackle for 1 yard (tackle by Jabrill Peppers),7,26,4.170,3.760
4,6:14,2,9,CLE 20,Deshaun Watson pass incomplete deep left intended for Demaryius Thomas,7,26,3.760,3.070
4,6:08,3,9,CLE 20,Deshaun Watson pass complete short left to DeAndre Carter for no gain. DeAndre Carter fumbles (forced by Briean Boddy-Calhoun) ball out of bounds at CLE-20,7,26,3.070,2.120
4,5:50,,,,Timeout #2 by Cleveland Browns,7,26,,
4,5:50,4,9,CLE 20,Ka'imi Fairbairn 38 yard field goal good,7,29,2.120,3.000
4,5:46,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,7,29,0.000,-0.610
4,5:46,1,10,CLE 25,Baker Mayfield pass incomplete deep left intended for Jarvis Landry (defended by Justin Reid),7,29,0.610,0.060
4,5:37,2,10,CLE 25,Baker Mayfield pass complete short right to David Njoku for 9 yards (tackle by Kareem Jackson),7,29,0.060,0.560
4,5:03,3,1,CLE 34,Baker Mayfield pass complete short right to Rashard Higgins for 5 yards (tackle by Aaron Colvin),7,29,0.560,1.530
4,4:38,1,10,CLE 39,Baker Mayfield pass complete short middle to Jarvis Landry for 5 yards (tackle by Aaron Colvin),7,29,1.530,1.660
4,4:10,2,5,CLE 44,Baker Mayfield pass complete short left to Antonio Callaway for 7 yards (tackle by Kareem Jackson),7,29,1.660,2.320
4,4:04,1,10,HTX 49,Baker Mayfield pass complete short left to Dontrell Hilliard for 4 yards (tackle by Jadeveon Clowney),7,29,2.320,2.320
4,3:37,2,6,HTX 45,Baker Mayfield pass complete short right to Breshad Perriman for 7 yards (tackle by Kareem Jackson),7,29,2.320,3.050
4,3:32,1,10,HTX 38,Baker Mayfield pass complete deep left to Rashard Higgins for 21 yards (tackle by Dylan Cole),7,29,3.050,4.440
4,3:05,1,10,HTX 17,Baker Mayfield pass complete deep right to Rashard Higgins for 17 yards touchdown,13,29,4.440,7.000
4,2:58,,,HTX 2,Two Point Attempt: Baker Mayfield pass complete to Antonio Callaway conversion fails,13,29,0.000,-1.000
4,2:58,,,CLE 35,Greg Joseph kicks onside 11 yards recovered by Darren Fells (onside kick successful). Penalty on Darren Fells: Offside on Free Kick 5 yards (no play),13,29,0.000,0.000
4,2:58,,,CLE 30,Greg Joseph kicks onside 8 yards recovered by Justin Reid,13,29,0.000,-3.050
4,2:57,1,10,CLE 38,Alfred Blue left guard for 2 yards (tackle by Myles Garrett and Trevon Coley),13,29,3.050,2.780
4,2:51,,,,Timeout #3 by Cleveland Browns,13,29,,
4,2:51,2,8,CLE 36,Alfred Blue right tackle for 2 yards (tackle by Trevon Coley),13,29,2.780,2.340
4,2:07,3,6,CLE 34,Alfred Blue right tackle for 5 yards (tackle by Tanner Vallejo and Jabrill Peppers),13,29,2.340,1.620
4,2:00,4,1,CLE 29,Alfred Blue left tackle for 29 yards. Penalty on Julie'n Davenport: Offensive Holding 10 yards (no play),13,29,1.620,0.660
4,1:53,4,11,CLE 39,Trevor Daniel punts 33 yards fair catch by Jabrill Peppers,13,29,0.660,0.380
4,1:45,1,10,CLE 6,Baker Mayfield pass complete short middle to Dontrell Hilliard for 9 yards (tackle by Aaron Colvin),13,29,-0.380,-0.070
4,1:21,2,1,CLE 15,Baker Mayfield pass complete deep middle to Breshad Perriman for 19 yards (tackle by Andre Hal),13,29,-0.070,1.200
4,0:55,1,10,CLE 34,Baker Mayfield pass complete short right to Dontrell Hilliard for 23 yards (tackle by Aaron Colvin),13,29,1.200,2.720
4,0:31,1,10,HTX 43,Baker Mayfield spiked the ball,13,29,2.720,2.180
4,0:31,2,10,HTX 43,Baker Mayfield pass complete short middle to Dontrell Hilliard for 4 yards (tackle by Brian Peters),13,29,2.180,2.010
4,0:15,3,6,HTX 39,Baker Mayfield spiked the ball,13,29,2.010,0.660
4,0:15,4,6,HTX 39,Baker Mayfield pass complete short middle to Damion Ratley for 2 yards (tackle by Aaron Colvin),13,29,0.660,-1.400
4,0:08,1,10,HTX 37,Deshaun Watson kneels for -1 yards,13,29,1.400,0.720