Quarter,Time,Down,ToGo,Location,Detail,JAX,NYG,EPB,EPA
1,15:00,,,NYG 35,Aldrick Rosas kicks off 63 yards returned by Jaydon Mickens for 18 yards (tackle by Nathan Stupar),0,0,0.000,-0.280
1,14:55,1,10,JAX 20,Leonard Fournette left end for -1 yards (tackle by Damon Harrison and Alec Ogletree),0,0,0.280,-0.460
1,14:19,2,11,JAX 19,Blake Bortles pass complete deep left to Keelan Cole for 31 yards (tackle by Janoris Jenkins),0,0,-0.460,2.260
1,13:38,1,10,50,Corey Grant right end for 3 yards (tackle by Ray-Ray Armstrong and B.W. Webb),0,0,2.260,2.120
1,12:58,2,7,NYG 47,Leonard Fournette left end for 12 yards (tackle by B.J. Goodson and Curtis Riley),0,0,2.120,3.250
1,12:19,1,10,NYG 35,Leonard Fournette left tackle for 6 yards (tackle by Janoris Jenkins),0,0,3.250,3.510
1,11:42,2,4,NYG 29,Blake Bortles pass incomplete short right intended for Dede Westbrook,0,0,3.510,2.810
1,11:36,3,4,NYG 29,Blake Bortles pass complete short right to Dede Westbrook for 6 yards (tackle by Eli Apple). Penalty on Ray-Ray Armstrong: Defensive Offside (Declined),0,0,2.810,4.040
1,11:10,1,10,NYG 23,Leonard Fournette left tackle for 2 yards (tackle by Ray-Ray Armstrong and Damon Harrison),0,0,4.040,3.770
1,10:27,2,8,NYG 21,Blake Bortles pass incomplete short left intended for T.J. Yeldon,0,0,3.770,3.070
1,10:22,3,8,NYG 21,Blake Bortles pass incomplete deep right intended for Donte Moncrief (defended by Eli Apple),0,0,3.070,2.060
1,10:17,4,8,NYG 21,Josh Lambo 39 yard field goal good,3,0,2.060,3.000
1,10:12,,,JAX 35,Josh Lambo kicks off 66 yards returned by Cody Latimer for 15 yards (tackle by Ronnie Harrison),3,0,0.000,0.280
1,10:07,1,10,NYG 14,Eli Manning pass complete short right to Odell Beckham for 6 yards (tackle by Telvin Smith and Jalen Ramsey). Penalty on Ereck Flowers: Tripping 7 yards (no play),3,0,-0.280,-0.650
1,9:49,1,17,NYG 7,Saquon Barkley right guard for no gain (tackle by Calais Campbell and A.J. Bouye),3,0,-0.650,-1.290
1,9:13,2,17,NYG 7,Eli Manning pass complete deep right to Evan Engram for 34 yards (tackle by A.J. Bouye). Penalty on Ereck Flowers: Offensive Holding 3 yards (no play),3,0,-1.290,-1.510
,,,,,JAX challenged the spot of a foul ruling and the play was upheld.,,,,
1,8:41,2,20,NYG 4,Saquon Barkley middle for -3 yards (tackle by Malik Jackson),3,0,-1.510,-2.940
1,7:55,3,23,NYG 1,Eli Manning pass complete short right to Rhett Ellison for 16 yards (tackle by Leon Jacobs and Telvin Smith),3,0,-2.940,-2.320
1,7:18,4,7,NYG 17,Riley Dixon punts 48 yards,3,0,-2.320,-1.270
1,7:04,1,10,JAX 35,Blake Bortles pass complete short right to Leonard Fournette for 11 yards (tackle by Alec Ogletree),3,0,1.270,1.990
1,6:31,1,10,JAX 46,Blake Bortles sacked by Kerry Wynn and B.J. Goodson for -8 yards,3,0,1.990,0.370
1,5:47,2,18,JAX 38,Blake Bortles pass incomplete deep left intended for Donte Moncrief is intercepted by Janoris Jenkins at NYG-37,3,0,0.370,-1.400
1,5:40,1,10,NYG 37,Saquon Barkley right guard for 10 yards (tackle by Jalen Ramsey),3,0,1.400,2.060
1,5:05,1,10,NYG 47,Eli Manning pass complete deep left to Odell Beckham for 24 yards (tackle by Barry Church),3,0,2.060,3.640
1,4:17,1,10,JAX 29,Saquon Barkley right guard for 5 yards (tackle by Malik Jackson and Marcell Dareus),3,0,3.640,3.780
1,3:32,2,5,JAX 24,Eli Manning pass complete short left to Odell Beckham for 3 yards (tackle by D.J. Hayden),3,0,3.780,3.470
1,3:15,3,2,JAX 21,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by Tashaun Gipson and D.J. Hayden),3,0,3.470,5.370
1,2:34,1,8,JAX 8,Saquon Barkley middle for 4 yards (tackle by Marcell Dareus),3,0,5.370,5.340
1,1:52,2,4,JAX 4,Saquon Barkley right guard for -4 yards (tackle by Barry Church and Jarrod Wilson),3,0,5.340,3.580
1,1:13,3,8,JAX 8,Odell Beckham left end for -1 yards (tackle by Barry Church),3,0,3.580,2.830
1,0:26,4,9,JAX 9,Aldrick Rosas 27 yard field goal good,3,3,2.830,3.000
1,0:23,,,NYG 35,Aldrick Rosas kicks off 65 yards touchback,3,3,0.000,-0.610
1,0:23,1,10,JAX 25,Leonard Fournette right guard for 7 yards (tackle by Janoris Jenkins and Lorenzo Carter),3,3,0.610,1.010
2,15:00,2,3,JAX 32,Leonard Fournette left guard for 6 yards (tackle by Mario Edwards),3,3,1.010,1.470
2,14:25,1,10,JAX 38,Leonard Fournette right guard for 3 yards (tackle by Mario Edwards),3,3,1.470,1.330
2,13:46,2,7,JAX 41,Blake Bortles middle for 3 yards (tackle by Kareem Martin and Damon Harrison),3,3,1.330,1.020
2,13:02,3,4,JAX 44,Blake Bortles pass complete short middle to T.J. Yeldon for 7 yards (tackle by Kerry Wynn and Ray-Ray Armstrong),3,3,1.020,2.320
2,12:32,1,10,NYG 49,Blake Bortles pass complete short left to Dede Westbrook for 4 yards (tackle by Janoris Jenkins),3,3,2.320,2.320
2,11:49,2,6,NYG 45,Leonard Fournette left end for 5 yards (tackle by Landon Collins),3,3,2.320,2.280
2,11:11,3,1,NYG 40,Blake Bortles pass complete short right to Leonard Fournette for 3 yards (tackle by Eli Apple),3,3,2.280,3.120
2,10:40,1,10,NYG 37,T.J. Yeldon middle for 3 yards (tackle by Dalvin Tomlinson and B.J. Hill),3,3,3.120,2.980
2,10:05,2,7,NYG 34,Blake Bortles pass complete short right to Austin Seferian-Jenkins for 13 yards (tackle by B.W. Webb),3,3,2.980,4.170
2,9:31,1,10,NYG 21,Blake Bortles pass complete short middle to Keelan Cole for 10 yards (tackle by Michael Thomas),3,3,4.170,4.840
2,8:55,1,10,NYG 11,Leonard Fournette left guard for 1 yard (tackle by Kerry Wynn),3,3,4.840,4.320
2,8:18,2,9,NYG 10,Blake Bortles pass complete short right to Austin Seferian-Jenkins for 10 yards. Penalty on Andrew Norwell: Illegal Use of Hands 11 yards (no play),3,3,4.320,2.940
2,8:10,2,20,NYG 21,Blake Bortles pass incomplete deep left intended for Niles Paul (defended by Janoris Jenkins),3,3,2.940,2.280
2,8:03,3,20,NYG 21,Blake Bortles pass complete short right to Leonard Fournette for no gain,3,3,2.280,2.060
2,7:22,4,20,NYG 21,Josh Lambo 39 yard field goal good,6,3,2.060,3.000
2,7:19,,,JAX 35,Josh Lambo kicks off 65 yards touchback,6,3,0.000,-0.610
2,7:18,1,10,NYG 25,Eli Manning pass incomplete deep left intended for Evan Engram. Penalty on Evan Engram: Offensive Pass Interference 10 yards (no play),6,3,0.610,-0.410
2,7:12,1,20,NYG 15,Eli Manning pass complete short left to Wayne Gallman for -1 yards (tackle by Abry Jones),6,3,-0.410,-1.540
2,6:32,2,21,NYG 14,Eli Manning pass complete short middle to Sterling Shepard for 5 yards (tackle by Myles Jack),6,3,-1.540,-1.510
2,5:50,3,16,NYG 19,Eli Manning pass complete short left to Odell Beckham for 7 yards (tackle by Telvin Smith),6,3,-1.510,-1.630
2,5:27,4,9,NYG 26,Riley Dixon punts 31 yards out of bounds,6,3,-1.630,-1.800
2,5:18,1,10,JAX 43,Blake Bortles pass complete deep middle to Dede Westbrook for 20 yards (tackle by Curtis Riley),6,3,1.800,3.120
2,4:47,1,10,NYG 37,Blake Bortles pass complete deep left to Dede Westbrook for 17 yards (tackle by Janoris Jenkins),6,3,3.120,4.240
2,4:12,1,10,NYG 20,T.J. Yeldon right tackle for 4 yards (tackle by Ray-Ray Armstrong),6,3,4.240,4.280
2,3:31,2,6,NYG 16,T.J. Yeldon right tackle for 15 yards (tackle by Curtis Riley),6,3,4.280,6.970
,,,,,NYG challenged the runner was down by contact ruling and the play was upheld.,,,,
2,2:47,1,1,NYG 1,Blake Bortles pass complete short right to T.J. Yeldon for 1 yard touchdown,12,3,6.970,7.000
2,2:42,,,NYG 15,Josh Lambo kicks extra point good,13,3,0.000,0.000
2,2:42,,,JAX 35,Josh Lambo kicks off 65 yards touchback,13,3,0.000,-0.610
2,2:42,1,10,NYG 25,Saquon Barkley left guard for -1 yards (tackle by Calais Campbell),13,3,0.610,-0.070
2,2:18,2,11,NYG 24,Eli Manning pass complete short middle to Sterling Shepard for 12 yards (tackle by Tashaun Gipson),13,3,-0.070,1.330
2,2:00,1,10,NYG 36,Eli Manning sacked by Lerentee McCray for -7 yards,13,3,1.330,-0.160
2,1:33,2,17,NYG 29,Eli Manning pass complete short middle to Sterling Shepard for 5 yards (tackle by Myles Jack),13,3,-0.160,-0.160
2,1:26,,,,Timeout #2 by Jacksonville Jaguars,13,3,,
2,1:26,3,12,NYG 34,Eli Manning pass complete deep right to Sterling Shepard for 16 yards (tackle by Tashaun Gipson),13,3,-0.160,2.260
2,1:20,1,10,50,Eli Manning pass incomplete deep right intended for Odell Beckham. Penalty on Barry Church: Defensive Pass Interference 30 yards (no play),13,3,2.260,4.240
2,1:13,1,10,JAX 20,Saquon Barkley middle for 1 yard (tackle by Telvin Smith and Myles Jack),13,3,4.240,3.820
2,0:50,2,9,JAX 19,Eli Manning sacked by Calais Campbell for -7 yards,13,3,3.820,2.210
2,0:25,,,,Timeout #2 by New York Giants,13,3,,
2,0:25,3,16,JAX 26,Eli Manning pass incomplete deep right intended for Odell Beckham. Penalty on Jalen Ramsey: Defensive Pass Interference 15 yards (no play),13,3,2.210,4.840
2,0:20,1,10,JAX 11,Eli Manning pass complete short left to Odell Beckham for -2 yards (tackle by Jalen Ramsey),13,3,4.840,3.830
2,0:11,,,,Timeout #3 by New York Giants,13,3,,
2,0:11,2,12,JAX 13,Eli Manning pass incomplete short middle intended for Odell Beckham,13,3,3.830,3.080
2,0:07,3,12,JAX 13,Aldrick Rosas 31 yard field goal good,13,6,3.080,3.000
2,0:04,,,NYG 35,Aldrick Rosas kicks off 65 yards returned by Jaydon Mickens for 27 yards (tackle by Antonio Hamilton),13,6,0.000,2.260
3,15:00,,,JAX 35,Josh Lambo kicks off 65 yards touchback,13,6,0.000,-0.610
3,15:00,,,,Timeout #1 by New York Giants,13,6,,
3,15:00,1,10,NYG 25,Saquon Barkley left end for 8 yards (tackle by Marcell Dareus),13,6,0.610,1.140
3,14:42,2,2,NYG 33,Saquon Barkley right end for no gain (tackle by Marcell Dareus and Jalen Ramsey),13,6,1.140,0.430
3,14:02,3,2,NYG 33,Eli Manning pass incomplete deep left intended for Evan Engram (defended by Tashaun Gipson). Penalty on Tashaun Gipson: Defensive Holding 5 yards (no play),13,6,0.430,1.470
3,13:55,1,10,NYG 38,Eli Manning pass incomplete short left intended for Saquon Barkley (defended by Abry Jones),13,6,1.470,0.920
3,13:49,2,10,NYG 38,Saquon Barkley right guard for 3 yards (tackle by Yannick Ngakoue). Penalty on Yannick Ngakoue: Face Mask (15 Yards) 15 yards,13,6,0.920,2.650
3,13:27,1,10,JAX 44,Wayne Gallman middle for -1 yards (tackle by Malik Jackson and Taven Bryan),13,6,2.650,1.980
3,12:52,2,11,JAX 45,Eli Manning pass complete short middle to Wayne Gallman for 10 yards (tackle by Ronnie Harrison and Telvin Smith),13,6,1.980,2.610
3,12:11,3,1,JAX 35,Saquon Barkley left tackle for 2 yards (tackle by Barry Church),13,6,2.610,3.380
3,11:28,1,10,JAX 33,Eli Manning pass incomplete deep left intended for Odell Beckham,13,6,3.380,2.840
3,11:22,2,10,JAX 33,Saquon Barkley left tackle for 4 yards (tackle by Tashaun Gipson). Penalty on Cody Latimer: Offensive Holding 9 yards (no play),13,6,2.840,1.620
3,10:48,2,19,JAX 42,Eli Manning pass complete short middle to Odell Beckham for 3 yards (tackle by Myles Jack),13,6,1.620,1.350
3,10:02,3,16,JAX 39,Eli Manning pass complete short left to Evan Engram for 13 yards (tackle by Myles Jack),13,6,1.350,1.840
3,9:23,4,3,JAX 26,Aldrick Rosas 44 yard field goal good,13,9,1.840,3.000
3,9:18,,,NYG 35,Aldrick Rosas kicks off 65 yards touchback,13,9,0.000,-0.610
3,9:18,1,10,JAX 25,T.J. Yeldon middle for 1 yard (tackle by Alec Ogletree and Kareem Martin),13,9,0.610,0.200
3,8:41,2,9,JAX 26,T.J. Yeldon left end for 5 yards (tackle by Damon Harrison and Janoris Jenkins),13,9,0.200,0.170
3,7:54,3,4,JAX 31,Blake Bortles pass incomplete short right intended for Keelan Cole. Penalty on Cam Robinson: Unnecessary Roughness 15 yards,13,9,0.170,-2.390
3,7:50,4,19,JAX 16,Logan Cooke punts 30 yards out of bounds,13,9,-2.390,-2.520
3,7:42,1,10,JAX 46,Saquon Barkley right end for 3 yards (tackle by Leon Jacobs and Myles Jack),13,9,2.520,2.380
3,7:09,2,7,JAX 43,Eli Manning pass incomplete short right intended for Saquon Barkley,13,9,2.380,1.680
3,7:05,3,7,JAX 43,Eli Manning pass complete short middle to Evan Engram for 5 yards (tackle by D.J. Hayden),13,9,1.680,0.720
3,6:28,4,2,JAX 38,Saquon Barkley middle for 1 yard (tackle by Tashaun Gipson and Lerentee McCray),13,9,0.720,-1.400
3,6:14,1,10,JAX 37,Blake Bortles pass complete short right to Keelan Cole for 13 yards (tackle by Eli Apple),13,9,1.400,2.260
3,5:47,1,10,50,T.J. Yeldon right guard for 7 yards (tackle by Dalvin Tomlinson),13,9,2.260,2.660
3,5:15,2,3,NYG 43,Blake Bortles pass incomplete short middle intended for T.J. Yeldon,13,9,2.660,1.950
3,5:15,3,3,NYG 43,Penalty on Cam Robinson: False Start 5 yards (no play),13,9,1.950,1.290
3,5:12,3,8,NYG 48,Blake Bortles pass incomplete deep right intended for Donte Moncrief,13,9,1.290,0.070
3,5:07,4,8,NYG 48,Logan Cooke punts 37 yards,13,9,0.070,0.370
3,4:58,1,10,NYG 11,Jonathan Stewart right tackle for 4 yards (tackle by Myles Jack and Ronnie Harrison),13,9,-0.370,-0.430
3,4:25,2,6,NYG 15,Eli Manning pass complete short right to Sterling Shepard for 10 yards (tackle by A.J. Bouye),13,9,-0.430,0.610
3,3:51,1,10,NYG 25,Eli Manning pass incomplete short right intended for Odell Beckham,13,9,0.610,0.060
3,3:47,2,10,NYG 25,Eli Manning pass incomplete short middle intended for Evan Engram (defended by Tashaun Gipson),13,9,0.060,-0.620
3,3:43,3,10,NYG 25,Eli Manning pass incomplete short right intended for Odell Beckham,13,9,-0.620,-1.700
3,3:39,4,10,NYG 25,Riley Dixon punts 55 yards returned by Jaydon Mickens for -4 yards (tackle by Curtis Riley). Penalty on Blair Brown: Illegal Block Above the Waist 8 yards,13,9,-1.700,0.380
3,3:25,1,10,JAX 8,Blake Bortles pass incomplete short left intended for Austin Seferian-Jenkins (defended by Alec Ogletree),13,9,-0.380,-0.780
3,3:20,2,10,JAX 8,Blake Bortles for 41 yards (tackle by Landon Collins),13,9,-0.780,2.190
3,2:42,1,10,JAX 49,Blake Bortles pass incomplete short left intended for James O'Shaughnessy,13,9,2.190,1.650
3,2:37,2,10,JAX 49,T.J. Yeldon right tackle for 2 yards (tackle by Dalvin Tomlinson and B.J. Goodson),13,9,1.650,1.220
3,1:54,3,8,NYG 49,Penalty on Andrew Norwell: False Start 5 yards (no play),13,9,1.220,0.560
3,1:39,3,13,JAX 46,Blake Bortles pass complete short right to T.J. Yeldon for 10 yards (tackle by Curtis Riley),13,9,0.560,0.330
3,1:24,4,3,NYG 44,Logan Cooke punts 29 yards out of bounds,13,9,0.330,0.220
3,1:16,1,10,NYG 15,Eli Manning pass incomplete short left intended for Evan Engram,13,9,-0.220,-0.710
3,1:10,2,10,NYG 15,Saquon Barkley middle for 5 yards (tackle by Telvin Smith),13,9,-0.710,-0.760
3,0:27,3,5,NYG 20,Eli Manning pass complete short right to Saquon Barkley for 18 yards (tackle by Myles Jack),13,9,-0.760,1.470
4,15:00,1,10,NYG 38,Eli Manning pass complete short left to Saquon Barkley for 3 yards (tackle by Myles Jack). Penalty on Nate Solder: Offensive Holding 10 yards (no play),13,9,1.470,0.810
4,14:37,1,20,NYG 28,Eli Manning pass incomplete short left intended for Saquon Barkley,13,9,0.810,-0.430
4,14:32,2,20,NYG 28,Eli Manning pass incomplete,13,9,-0.430,-1.090
4,14:24,3,20,NYG 28,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by A.J. Bouye),13,9,-1.090,-0.650
4,13:55,4,7,NYG 41,Riley Dixon punts 59 yards touchback,13,9,-0.650,-0.280
4,13:46,1,10,JAX 20,Blake Bortles pass complete short left to Donte Moncrief for 14 yards (tackle by Curtis Riley),13,9,0.280,1.200
4,13:14,1,10,JAX 34,T.J. Yeldon left tackle for 3 yards (tackle by Janoris Jenkins and Landon Collins),13,9,1.200,1.060
4,12:33,2,7,JAX 37,Blake Bortles pass incomplete short left intended for T.J. Yeldon,13,9,1.060,0.370
4,12:26,3,7,JAX 37,Blake Bortles pass incomplete deep right intended for Donte Moncrief (defended by Eli Apple),13,9,0.370,-0.910
4,12:20,4,7,JAX 37,Logan Cooke punts 36 yards fair catch by Kaelin Clay,13,9,-0.910,-0.740
4,12:13,1,10,NYG 27,Saquon Barkley left guard for 3 yards (tackle by Myles Jack and Marcell Dareus),13,9,0.740,0.600
4,11:35,2,7,NYG 30,Eli Manning pass incomplete short right intended for Saquon Barkley is intercepted by Myles Jack at NYG-32 and returned for 32 yards touchdown,19,9,0.600,-7.000
4,,,,,Josh Lambo kicks extra point good,20,9,0.000,0.000
4,11:24,,,JAX 35,Josh Lambo kicks off 65 yards touchback,20,9,0.000,-0.610
4,11:24,1,10,NYG 25,Eli Manning pass complete short left to Odell Beckham for 7 yards (tackle by Jalen Ramsey),20,9,0.610,1.010
4,10:51,2,3,NYG 32,Saquon Barkley right tackle for 68 yards touchdown,20,15,1.010,7.000
4,10:39,,,JAX 2,Two Point Attempt: Saquon Barkley left guard conversion fails,20,15,0.000,-1.000
4,10:39,,,NYG 35,Aldrick Rosas kicks off 65 yards touchback,20,15,0.000,-0.610
4,10:39,1,10,JAX 25,Penalty on Jermey Parnell: False Start 5 yards (no play),20,15,0.610,0.280
4,10:39,1,15,JAX 20,Blake Bortles pass complete short left to Austin Seferian-Jenkins for 9 yards (tackle by Landon Collins),20,15,0.280,0.600
4,10:07,2,6,JAX 29,T.J. Yeldon left end for no gain (tackle by B.J. Hill),20,15,0.600,-0.100
4,9:24,3,6,JAX 29,Blake Bortles pass incomplete short right intended for Austin Seferian-Jenkins (defended by Connor Barwin),20,15,-0.100,-1.440
4,9:18,4,6,JAX 29,Logan Cooke punts 44 yards returned by Kaelin Clay for -1 yards (tackle by DJ Chark),20,15,-1.440,-0.670
4,9:08,1,10,NYG 26,Eli Manning pass complete short left to Odell Beckham for 3 yards (tackle by Myles Jack and Abry Jones),20,15,0.670,0.540
4,8:44,2,7,NYG 29,Eli Manning for 2 yards (tackle by Telvin Smith),20,15,0.540,0.100
4,8:06,3,5,NYG 31,Eli Manning pass complete short left to Saquon Barkley for 4 yards (tackle by D.J. Hayden and A.J. Bouye),20,15,0.100,-1.040
4,8:06,4,1,NYG 35,Penalty on Curtis Riley: False Start 4 yards (no play),20,15,-1.040,-1.310
4,7:04,4,5,NYG 31,Riley Dixon punts 54 yards returned by Jaydon Mickens for 10 yards (tackle by Kerry Wynn),20,15,-1.310,-0.610
4,6:51,1,10,JAX 25,T.J. Yeldon right tackle for 7 yards (tackle by Ray-Ray Armstrong and Alec Ogletree),20,15,0.610,1.010
4,6:15,2,3,JAX 32,T.J. Yeldon middle for no gain (tackle by Damon Harrison and B.J. Hill),20,15,1.010,0.300
4,5:36,3,3,JAX 32,Blake Bortles pass complete short left to Dede Westbrook for 4 yards (tackle by B.W. Webb),20,15,0.300,1.330
4,5:01,1,10,JAX 36,Blake Bortles pass incomplete short right intended for James O'Shaughnessy (defended by Lorenzo Carter),20,15,1.330,0.790
4,4:57,,,,Timeout #1 by Jacksonville Jaguars,20,15,,
4,4:57,2,10,JAX 36,Blake Bortles pass incomplete short right intended for T.J. Yeldon (defended by Landon Collins),20,15,0.790,0.100
4,4:52,3,10,JAX 36,Blake Bortles pass complete short middle to Austin Seferian-Jenkins for 3 yards (tackle by Landon Collins),20,15,0.100,-0.780
4,4:20,4,7,JAX 39,Logan Cooke punts 47 yards returned by Kaelin Clay for 5 yards (tackle by Niles Paul),20,15,-0.780,-0.150
4,4:10,1,10,NYG 19,Eli Manning pass complete deep right to Odell Beckham for 21 yards (tackle by Jalen Ramsey),20,15,0.150,1.600
4,4:03,1,10,NYG 40,Saquon Barkley right end for 1 yard (tackle by Barry Church),20,15,1.600,1.190
4,3:21,2,9,NYG 41,Eli Manning pass complete deep middle to Odell Beckham for 19 yards (tackle by Barry Church),20,15,1.190,2.920
4,2:38,1,10,JAX 40,Eli Manning pass incomplete short middle intended for Sterling Shepard,20,15,2.920,2.370
4,2:33,2,10,JAX 40,Jonathan Stewart left guard for 4 yards (tackle by Telvin Smith and Malik Jackson),20,15,2.370,2.210
4,2:00,3,6,JAX 36,Eli Manning pass incomplete short left intended for Evan Engram (defended by Barry Church),20,15,2.210,0.880
4,1:55,4,6,JAX 36,Eli Manning pass incomplete deep right intended for Sterling Shepard (defended by D.J. Hayden),20,15,0.880,-1.330
4,1:49,1,10,JAX 36,T.J. Yeldon left guard for 2 yards (tackle by Alec Ogletree and Damon Harrison),20,15,1.330,1.060
4,1:44,,,,Timeout #2 by New York Giants,20,15,,
4,1:44,2,8,JAX 38,T.J. Yeldon right tackle for 2 yards (tackle by Dalvin Tomlinson and B.J. Hill),20,15,1.060,0.630
4,1:38,,,,Timeout #3 by New York Giants,20,15,,
4,1:38,3,6,JAX 40,T.J. Yeldon left tackle for no gain (tackle by Dalvin Tomlinson and Alec Ogletree),20,15,0.630,-0.720
4,0:54,,,,Timeout #2 by Jacksonville Jaguars,20,15,,
4,0:54,4,6,JAX 40,Logan Cooke punts 41 yards muffed catch by Kaelin Clay recovered by Donald Payne and returned for no gain,20,15,-0.720,4.170
4,0:45,1,10,NYG 21,Blake Bortles kneels for -1 yards,20,15,4.170,3.490
4,0:20,2,11,NYG 22,Blake Bortles kneels for -1 yards,20,15,3.490,2.680