Quarter,Time,Down,ToGo,Location,Detail,KAN,LAC,EPB,EPA
1,15:00,,,KAN 35,Harrison Butker kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,LAC 25,Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Eric Murray),0,0,0.610,1.140
1,14:25,2,2,LAC 33,Melvin Gordon middle for 1 yard (tackle by Dee Ford and Kendall Fuller),0,0,1.140,0.560
1,14:03,3,1,LAC 34,Melvin Gordon middle for no gain (tackle by Reggie Ragland and Ron Parker),0,0,0.560,-1.110
1,13:24,4,1,LAC 34,Drew Kaser punts 57 yards returned by Tyreek Hill for 91 yards touchdown,6,0,-1.110,-7.000
1,,,,,Harrison Butker kicks extra point good,7,0,0.000,0.000
1,13:03,,,KAN 35,Harrison Butker kicks off 65 yards touchback,7,0,0.000,-0.610
1,13:03,1,10,LAC 25,Austin Ekeler left end for 7 yards (tackle by Eric Murray and Reggie Ragland),7,0,0.610,1.010
1,12:25,2,3,LAC 32,Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Kendall Fuller: Defensive Holding 5 yards (no play),7,0,1.010,1.400
1,12:21,1,10,LAC 37,Melvin Gordon middle for 3 yards (tackle by Xavier Williams and Reggie Ragland),7,0,1.400,1.260
1,11:44,2,7,LAC 40,Philip Rivers pass complete short right to Keenan Allen for 8 yards,7,0,1.260,2.130
1,11:10,1,10,LAC 48,Travis Benjamin for 19 yards (tackle by Kendall Fuller). Penalty on Chris Jones: Defensive Offside (Declined),7,0,2.130,3.380
1,10:48,1,10,KAN 33,Melvin Gordon middle for 2 yards (tackle by Ron Parker and Anthony Hitchens),7,0,3.380,3.110
1,10:09,2,8,KAN 31,Philip Rivers pass incomplete deep left intended for Tyrell Williams,7,0,3.110,2.410
1,10:03,3,8,KAN 31,Philip Rivers pass complete short middle to Tyrell Williams for 4 yards (tackle by Orlando Scandrick),7,0,2.410,1.750
1,9:24,4,4,KAN 27,Caleb Sturgis 45 yard field goal good,7,3,1.750,3.000
1,9:20,,,LAC 35,Caleb Sturgis kicks off 65 yards touchback,7,3,0.000,-0.610
1,9:20,1,10,KAN 25,Kareem Hunt middle for 4 yards (tackle by Jahleel Addae and Isaac Rochell),7,3,0.610,0.600
1,8:47,2,6,KAN 29,Patrick Mahomes pass complete short right to Sammy Watkins for 4 yards (tackle by Casey Hayward),7,3,0.600,0.430
1,8:07,3,2,KAN 33,Patrick Mahomes middle for 3 yards (tackle by Jahleel Addae),7,3,0.430,1.330
1,7:25,1,10,KAN 36,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Kyle Emanuel),7,3,1.330,1.600
1,6:50,2,4,KAN 42,Patrick Mahomes pass complete short middle to Tyreek Hill for 58 yards touchdown,13,3,1.600,7.000
1,6:39,,,LAC 15,Harrison Butker kicks extra point good,14,3,0.000,0.000
1,6:39,,,KAN 35,Harrison Butker kicks off 65 yards touchback,14,3,0.000,-0.610
1,6:39,1,10,LAC 25,Philip Rivers pass complete deep left to Austin Ekeler for 30 yards (tackle by Ron Parker). Penalty on Ron Parker: Lowering the Head to Initiate Contact 15 yards,14,3,0.610,3.580
1,6:16,1,10,KAN 30,Melvin Gordon middle for no gain (tackle by Justin Houston and Anthony Hitchens),14,3,3.580,3.030
1,5:35,2,10,KAN 30,Philip Rivers pass incomplete short left intended for Keenan Allen,14,3,3.030,2.340
1,5:31,3,10,KAN 30,Philip Rivers sacked by Dee Ford for -6 yards,14,3,2.340,0.880
1,5:12,4,16,KAN 36,Caleb Sturgis punts 24 yards,14,3,0.880,0.350
1,5:03,1,10,KAN 12,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,14,3,-0.350,-0.780
1,4:58,2,10,KAN 12,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,14,3,-0.780,-1.420
1,4:53,3,10,KAN 12,Spencer Ware middle for 4 yards (tackle by Jatavis Brown and Chris Landrum),14,3,-1.420,-2.390
1,4:11,4,6,KAN 16,Dustin Colquitt punts 44 yards fair catch by JJ Jones,14,3,-2.390,-1.600
1,4:02,1,10,LAC 40,Melvin Gordon right tackle for 18 yards (tackle by Steven Nelson),14,3,1.600,2.790
1,3:18,1,10,KAN 42,Philip Rivers pass complete short right to Melvin Gordon for 13 yards (tackle by Ron Parker),14,3,2.790,3.640
1,2:41,1,10,KAN 29,Melvin Gordon middle for 1 yard (tackle by Eric Murray and Reggie Ragland),14,3,3.640,3.240
1,2:00,2,9,KAN 28,Philip Rivers pass complete short right to Melvin Gordon for -2 yards (tackle by Anthony Hitchens),14,3,3.240,2.280
1,1:14,3,11,KAN 30,Philip Rivers pass complete short middle to Austin Ekeler for 9 yards (tackle by Anthony Hitchens and Steven Nelson),14,3,2.280,2.180
1,0:25,,,,Timeout #1 by Los Angeles Chargers,14,3,,
1,0:25,4,2,KAN 21,Caleb Sturgis 39 yard field goal good,14,6,2.180,3.000
1,0:21,,,LAC 35,Caleb Sturgis kicks off 65 yards touchback,14,6,0.000,-0.610
1,0:21,1,10,KAN 25,Patrick Mahomes pass complete deep left to Tyreek Hill for 30 yards (tackle by Kyzir White),14,6,0.610,2.590
2,15:00,1,10,LAC 45,Patrick Mahomes pass incomplete deep middle intended for De'Anthony Thomas (defended by Derwin James),14,6,2.590,2.040
2,14:53,2,10,LAC 45,Patrick Mahomes pass incomplete short left intended for Travis Kelce,14,6,2.040,1.360
2,14:49,3,10,LAC 45,Patrick Mahomes sacked by Derwin James for 0 yards,14,6,1.360,0.270
2,14:07,4,10,LAC 45,Dustin Colquitt punts 41 yards,14,6,0.270,0.380
2,13:58,1,10,LAC 4,Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Steven Nelson). Penalty on KAN: Defensive Too Many Men on Field 5 yards (no play),14,6,-0.380,-0.190
2,13:54,1,5,LAC 9,Melvin Gordon left end for 6 yards (tackle by Steven Nelson and Anthony Hitchens),14,6,-0.190,-0.220
2,13:17,1,10,LAC 15,Melvin Gordon left end for 5 yards (tackle by Xavier Williams),14,6,-0.220,0.080
2,12:37,2,5,LAC 20,Austin Ekeler middle for 6 yards (tackle by Kendall Fuller and Xavier Williams),14,6,0.080,0.670
2,11:57,1,10,LAC 26,Philip Rivers pass incomplete deep right intended for Travis Benjamin,14,6,0.670,0.130
2,11:51,2,10,LAC 26,Philip Rivers pass complete short left to Virgil Green for 15 yards (tackle by Anthony Hitchens),14,6,0.130,1.660
2,11:07,1,10,LAC 41,Philip Rivers pass complete short right to Melvin Gordon for 25 yards (tackle by Steven Nelson),14,6,1.660,3.310
2,10:27,1,10,KAN 34,Philip Rivers pass incomplete. Penalty on Chris Jones: Defensive Offside (Offsetting) Penalty on Russell Okung: Offensive Holding (Offsetting) (no play),14,6,3.310,3.310
2,10:21,1,10,KAN 34,Philip Rivers pass incomplete deep middle intended for Tyrell Williams,14,6,3.310,2.770
2,10:14,2,10,KAN 34,Austin Ekeler middle for 9 yards (tackle by Ron Parker and Eric Murray),14,6,2.770,3.270
2,9:28,3,1,KAN 25,Derek Watt middle for 1 yard (tackle by Reggie Ragland),14,6,3.270,3.970
2,8:46,1,10,KAN 24,Melvin Gordon middle for 11 yards (tackle by Ron Parker),14,6,3.970,4.710
2,7:58,1,10,KAN 13,Philip Rivers pass incomplete short left intended for Melvin Gordon,14,6,4.710,4.050
2,7:54,,,,Timeout #2 by Los Angeles Chargers,14,6,,
2,7:54,2,10,KAN 13,Philip Rivers pass complete short left to Austin Ekeler for 13 yards touchdown,14,12,4.050,7.000
2,7:47,,,KAN 2,Two Point Attempt: Philip Rivers pass incomplete intended for Mike Williams conversion fails,14,12,0.000,-1.000
2,7:47,,,LAC 35,Caleb Sturgis kicks off 65 yards touchback,14,12,0.000,-0.610
2,7:47,1,10,KAN 25,Kareem Hunt left guard for 3 yards (tackle by Kyle Emanuel),14,12,0.610,0.470
2,7:08,2,7,KAN 28,Patrick Mahomes right end for 8 yards (tackle by Isaac Rochell),14,12,0.470,1.330
2,6:31,1,10,KAN 36,Kareem Hunt middle for 3 yards (tackle by Jahleel Addae and Isaac Rochell),14,12,1.330,1.200
2,5:53,2,7,KAN 39,Kareem Hunt left end for 6 yards (tackle by Kyzir White),14,12,1.200,1.290
2,5:10,,,,Timeout #1 by Kansas City Chiefs,14,12,,
2,5:10,3,1,KAN 45,Spencer Ware middle for 1 yard (tackle by Kyzir White),14,12,1.290,1.990
2,4:29,1,10,KAN 46,Patrick Mahomes pass complete short middle to Tyreek Hill for 5 yards (tackle by Desmond King),14,12,1.990,2.130
2,3:53,2,5,LAC 49,Kareem Hunt right end for 13 yards (tackle by Derwin James),14,12,2.130,3.180
2,3:19,1,10,LAC 36,Damien Williams right end for no gain (tackle by Justin Jones and Melvin Ingram),14,12,3.180,2.640
2,2:45,2,10,LAC 36,Patrick Mahomes pass incomplete short left intended for Sammy Watkins (defended by Damion Square),14,12,2.640,1.950
2,2:42,3,10,LAC 36,Patrick Mahomes pass complete short left to Spencer Ware for 8 yards,14,12,1.950,1.700
2,2:04,4,2,LAC 28,Harrison Butker 46 yard field goal good,17,12,1.700,3.000
2,2:00,,,KAN 35,Harrison Butker kicks off 65 yards touchback,17,12,0.000,-0.610
2,2:00,1,10,LAC 25,Melvin Gordon middle for 5 yards (tackle by Chris Jones),17,12,0.610,0.740
2,1:27,2,5,LAC 30,Philip Rivers pass complete short left to Travis Benjamin for 1 yard (tackle by Terrance Smith). Penalty on Tyrell Williams: Illegal Block Above the Waist 10 yards,17,12,0.740,-0.480
2,1:15,2,14,LAC 21,Philip Rivers pass incomplete deep middle intended for Travis Benjamin,17,12,-0.480,-1.150
2,1:09,3,14,LAC 21,Philip Rivers pass incomplete,17,12,-1.150,-1.960
2,1:06,4,14,LAC 21,Drew Kaser punts 63 yards returned by Tyreek Hill for 4 yards. Penalty on Marcus Kemp: Illegal Block Above the Waist 10 yards,17,12,-1.960,0.380
2,0:51,1,10,KAN 10,Spencer Ware right tackle for 27 yards (tackle by Desmond King and Adrian Phillips),17,12,-0.380,1.400
2,0:38,,,,Timeout #2 by Kansas City Chiefs,17,12,,
2,0:38,1,10,KAN 37,Penalty on Chris Landrum: Neutral Zone Infraction 5 yards (no play),17,12,1.400,2.130
2,0:38,1,5,KAN 42,Patrick Mahomes pass complete deep left to Tyreek Hill for 20 yards (tackle by Jahleel Addae),17,12,2.130,3.050
2,0:13,1,10,LAC 38,Patrick Mahomes pass complete short middle to Damien Williams for no gain. Penalty on Cameron Erving: Offensive Holding 10 yards (no play),17,12,3.050,2.390
2,0:13,1,20,LAC 48,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill (defended by Derwin James),17,12,2.390,1.160
2,0:02,2,20,LAC 48,Patrick Mahomes pass incomplete deep middle intended for Travis Kelce (defended by Desmond King),17,12,1.160,0.500
3,15:00,,,LAC 35,Caleb Sturgis kicks off 65 yards touchback,17,12,0.000,-0.610
3,15:00,1,10,KAN 25,Patrick Mahomes pass complete short middle to Tyreek Hill for 21 yards,17,12,0.610,1.990
3,14:26,1,10,KAN 46,Kareem Hunt right end for 7 yards (tackle by Denzel Perryman and Derwin James),17,12,1.990,2.400
3,13:46,2,3,LAC 47,Kareem Hunt middle for 5 yards (tackle by Jahleel Addae and Kyzir White),17,12,2.400,2.790
3,13:04,1,10,LAC 42,Patrick Mahomes pass incomplete short right intended for Travis Kelce,17,12,2.790,2.240
3,12:59,2,10,LAC 42,Patrick Mahomes middle for 7 yards (tackle by Casey Hayward),17,12,2.240,2.480
3,12:16,3,3,LAC 35,Penalty on Melvin Ingram: Defensive Offside 5 yards (no play),17,12,2.480,3.580
3,11:57,1,10,LAC 30,Kareem Hunt middle for 3 yards (tackle by Denzel Perryman and Justin Jones),17,12,3.580,3.440
3,11:21,2,7,LAC 27,Tyreek Hill for 7 yards,17,12,3.440,4.240
3,10:42,1,10,LAC 20,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Trevor Williams),17,12,4.240,3.690
3,10:38,2,10,LAC 20,Patrick Mahomes pass complete deep middle to Sammy Watkins for 16 yards (tackle by Trevor Williams),17,12,3.690,6.280
3,9:55,1,4,LAC 4,Patrick Mahomes middle for 2 yards (tackle by Justin Jones and Kyzir White). Penalty on Justin Jones: Face Mask (15 Yards) 1 yards,17,12,6.280,6.970
3,9:29,1,1,LAC 1,Patrick Mahomes pass complete short middle to De'Anthony Thomas for 1 yard touchdown,23,12,6.970,7.000
3,9:25,,,LAC 15,Harrison Butker kicks extra point good,24,12,0.000,0.000
3,9:25,,,KAN 35,Harrison Butker kicks off 69 yards returned by JJ Jones for 13 yards (tackle by Marcus Kemp),24,12,0.000,0.380
3,9:18,1,10,LAC 9,Philip Rivers pass complete short left to Melvin Gordon for 11 yards (tackle by Anthony Hitchens and Eric Murray),24,12,-0.380,0.280
3,8:38,1,10,LAC 20,Philip Rivers pass complete short left to Melvin Gordon for 20 yards (tackle by Ron Parker),24,12,0.280,1.600
3,7:53,1,10,LAC 40,Austin Ekeler left tackle for 7 yards (tackle by Steven Nelson and Xavier Williams),24,12,1.600,2.000
3,7:13,2,3,LAC 47,Philip Rivers pass complete short right to Keenan Allen for 16 yards (tackle by Steven Nelson),24,12,2.000,3.120
3,6:34,1,10,KAN 37,Melvin Gordon left tackle for no gain (tackle by Dee Ford),24,12,3.120,2.570
3,5:49,2,10,KAN 37,Philip Rivers pass incomplete short left intended for Virgil Green. Penalty on Eric Murray: Defensive Holding 5 yards (no play),24,12,2.570,3.450
3,5:44,1,10,KAN 32,Melvin Gordon middle for -2 yards (tackle by Chris Jones),24,12,3.450,2.630
3,5:04,2,12,KAN 34,Melvin Gordon right end for 8 yards (tackle by Ron Parker),24,12,2.630,3.010
3,4:21,3,4,KAN 26,Philip Rivers pass incomplete short left intended for Tyrell Williams is intercepted by Ron Parker at KAN-14,24,12,3.010,0.280
3,4:16,1,10,KAN 14,Kareem Hunt right guard for no gain (tackle by Denzel Perryman),24,12,-0.280,-0.750
3,3:39,2,10,KAN 14,Tyreek Hill left end for -3 yards (tackle by Desmond King),24,12,-0.750,-1.770
3,2:54,3,13,KAN 11,Patrick Mahomes pass complete deep right to Tyreek Hill for 34 yards (tackle by Desmond King),24,12,-1.770,1.930
3,2:10,1,10,KAN 45,Kareem Hunt right end for 4 yards (tackle by Damion Square),24,12,1.930,1.920
3,1:30,2,6,KAN 49,Patrick Mahomes pass complete short left to Chris Conley for 15 yards (tackle by Trevor Williams),24,12,1.920,3.180
3,0:55,1,10,LAC 36,Patrick Mahomes pass complete deep left to Anthony Sherman for 36 yards touchdown,30,12,3.180,7.000
3,0:48,,,LAC 15,Harrison Butker kicks extra point good,31,12,0.000,0.000
3,0:48,,,KAN 35,Harrison Butker kicks off 70 yards returned by JJ Jones for 26 yards (tackle by Tremon Smith). Penalty on Kyle Emanuel: Offensive Holding 9 yards,31,12,0.000,0.380
3,0:42,1,10,LAC 9,Philip Rivers pass complete short left to Keenan Allen for 20 yards (tackle by Eric Murray and Steven Nelson),31,12,-0.380,0.870
3,0:15,1,10,LAC 29,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Steven Nelson),31,12,0.870,1.000
4,15:00,2,5,LAC 34,Philip Rivers pass incomplete short left intended for Melvin Gordon,31,12,1.000,0.300
4,14:57,3,5,LAC 34,Philip Rivers pass complete deep middle to Mike Williams for 25 yards (tackle by Eric Murray and Anthony Hitchens),31,12,0.300,2.850
4,14:18,1,10,KAN 41,Philip Rivers pass complete short left to Virgil Green for 6 yards (tackle by Anthony Hitchens and Reggie Ragland),31,12,2.850,3.120
4,13:34,2,4,KAN 35,Philip Rivers pass complete short right to Mike Williams for 7 yards (tackle by Reggie Ragland and Kendall Fuller),31,12,3.120,3.710
4,13:01,1,10,KAN 28,Philip Rivers pass incomplete deep right intended for Keenan Allen,31,12,3.710,3.170
4,12:53,2,10,KAN 28,Philip Rivers pass complete short right to Melvin Gordon for 8 yards (tackle by Dee Ford),31,12,3.170,3.530
4,12:09,3,2,KAN 20,Philip Rivers pass complete deep right to Keenan Allen for 20 yards touchdown,31,18,3.530,7.000
4,12:04,,,KAN 2,Two Point Attempt: Philip Rivers pass complete to Antonio Gates conversion succeeds,31,20,0.000,1.000
4,12:04,,,LAC 35,Caleb Sturgis kicks off 68 yards returned by De'Anthony Thomas for 26 yards (tackle by Adrian Phillips),31,20,0.000,-0.480
4,11:58,1,10,KAN 23,Kareem Hunt middle for 4 yards (tackle by Casey Hayward),31,20,0.480,0.470
4,11:20,2,6,KAN 27,Kareem Hunt left guard for no gain (tackle by Isaac Rochell),31,20,0.470,-0.230
4,10:41,3,6,KAN 27,Patrick Mahomes pass incomplete,31,20,-0.230,-1.570
4,10:35,4,6,KAN 27,Dustin Colquitt punts 59 yards returned by JJ Jones for no gain. JJ Jones fumbles (forced by De'Anthony Thomas) recovered by James Winchester at LAC-2,31,20,-1.570,6.740
4,10:22,1,2,LAC 2,Patrick Mahomes right end for 1 yard (tackle by Casey Hayward),31,20,6.740,5.910
4,9:52,2,1,LAC 1,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,31,20,5.910,5.170
4,9:47,3,1,LAC 1,Patrick Mahomes pass complete short middle to Tyreek Hill for 1 yard touchdown,37,20,5.170,7.000
4,9:42,,,LAC 15,Harrison Butker kicks extra point good,38,20,0.000,0.000
4,9:42,,,KAN 35,Harrison Butker kicks off 65 yards touchback,38,20,0.000,-0.610
4,9:42,1,10,LAC 25,Penalty on Sam Tevi: False Start 5 yards (no play),38,20,0.610,0.280
4,9:42,1,15,LAC 20,Philip Rivers middle for 1 yard (tackle by Chris Jones). Penalty on Mike Pouncey: Offensive Holding 10 yards (no play),38,20,0.280,-0.950
4,9:11,1,25,LAC 10,Melvin Gordon middle for 6 yards (tackle by Chris Jones and Terrance Smith),38,20,-0.950,-1.290
4,8:36,2,19,LAC 16,Philip Rivers pass complete deep left to Mike Williams for 23 yards (tackle by Eric Murray),38,20,-1.290,1.530
4,8:07,1,10,LAC 39,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Eric Murray),38,20,1.530,2.200
4,7:42,2,1,LAC 48,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Anthony Hitchens),38,20,2.200,2.590
4,7:13,1,10,KAN 45,Austin Ekeler middle for 10 yards (tackle by Ron Parker and Tanoh Kpassagnon),38,20,2.590,3.250
4,6:36,1,10,KAN 35,Philip Rivers pass incomplete short middle intended for Melvin Gordon,38,20,3.250,2.700
4,6:32,2,10,KAN 35,Philip Rivers pass complete short left to Keenan Allen for 8 yards (tackle by Tanoh Kpassagnon),38,20,2.700,3.070
4,5:56,3,2,KAN 27,Philip Rivers pass incomplete short left intended for Melvin Gordon,38,20,3.070,1.800
4,5:52,4,2,KAN 27,Philip Rivers pass complete short right to Keenan Allen for 23 yards (tackle by Kendall Fuller),38,20,1.800,6.280
4,5:08,1,4,KAN 4,Philip Rivers pass complete short right to Tyrell Williams for 4 yards touchdown,38,26,6.280,7.000
4,5:01,,,KAN 2,Two Point Attempt: Melvin Gordon left end conversion succeeds,38,28,0.000,1.000
4,5:01,,,LAC 35,Caleb Sturgis kicks off 47 yards returned by De'Anthony Thomas for 7 yards (tackle by Jatavis Brown),38,28,0.000,-0.610
4,4:54,1,10,KAN 25,Kareem Hunt right end for -1 yards (tackle by Denzel Perryman and Darius Philon),38,28,0.610,-0.070
4,4:09,2,11,KAN 24,Patrick Mahomes pass complete short left to Sammy Watkins for 1 yard (tackle by Desmond King),38,28,-0.070,-0.620
4,3:25,3,10,KAN 25,Patrick Mahomes pass incomplete,38,28,-0.620,-1.700
4,3:18,4,10,KAN 25,Dustin Colquitt punts 60 yards returned by Travis Benjamin for -1 yards (tackle by Marcus Kemp),38,28,-1.700,0.280
4,3:05,1,10,LAC 14,Philip Rivers pass incomplete deep right intended for Travis Benjamin (defended by Ron Parker),38,28,-0.280,-0.750
4,2:56,2,10,LAC 14,Philip Rivers pass complete short middle to Melvin Gordon for 16 yards (tackle by Anthony Hitchens),38,28,-0.750,0.940
4,2:29,1,10,LAC 30,Philip Rivers pass complete short middle to Melvin Gordon for 13 yards (tackle by Terrance Smith and Kendall Fuller),38,28,0.940,1.800
4,2:03,1,10,LAC 43,Philip Rivers pass complete short middle to Austin Ekeler for 17 yards (tackle by Anthony Hitchens),38,28,1.800,2.920
4,1:57,1,10,KAN 40,Philip Rivers pass complete short left to Mike Williams for 12 yards,38,28,2.920,3.710
4,1:51,1,10,KAN 28,Philip Rivers pass incomplete deep middle intended for Travis Benjamin,38,28,3.710,3.170
4,1:45,2,10,KAN 28,Philip Rivers pass incomplete deep right intended for Keenan Allen (defended by Orlando Scandrick),38,28,3.170,2.480
4,1:40,3,10,KAN 28,Philip Rivers pass complete short right to Melvin Gordon for -2 yards (tackle by Anthony Hitchens),38,28,2.480,1.410
4,1:11,4,12,KAN 30,Caleb Sturgis 48 yard field goal no good,38,28,1.410,-1.470
4,1:06,1,10,KAN 38,Kareem Hunt middle for 4 yards (tackle by Kyle Emanuel),38,28,1.470,1.460
4,1:00,,,,Timeout #1 by Los Angeles Chargers,38,28,,
4,1:00,2,6,KAN 42,Kareem Hunt right end for -2 yards (tackle by Kyle Emanuel and Chris Landrum),38,28,1.460,0.500
4,0:53,,,,Timeout #2 by Los Angeles Chargers,38,28,,
4,0:53,3,8,KAN 40,Kareem Hunt middle for -4 yards (tackle by Kyle Emanuel),38,28,0.500,-0.980
4,0:50,,,,Timeout #3 by Los Angeles Chargers,38,28,,
4,0:50,4,12,KAN 36,Dustin Colquitt punts 44 yards,38,28,-0.980,-0.280
4,0:36,1,10,LAC 20,Philip Rivers pass incomplete deep left intended for Mike Williams (defended by Steven Nelson),38,28,0.280,-0.270
4,0:31,2,10,LAC 20,Philip Rivers pass complete short middle to Mike Williams for 14 yards (tackle by Terrance Smith),38,28,-0.270,1.200
4,0:10,1,10,LAC 34,Philip Rivers pass incomplete deep right intended for Antonio Gates,38,28,1.200,0.660
4,0:07,2,10,LAC 34,Philip Rivers pass complete short middle to Austin Ekeler for 18 yards (tackle by Terrance Smith and Anthony Hitchens),38,28,0.660,2.390