Quarter,Time,Down,ToGo,Location,Detail,NYJ,CLE,EPB,EPA
1,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,0,0,0.000,-0.610
1,15:00,1,10,CLE 25,Tyrod Taylor pass incomplete short right intended for Antonio Callaway,0,0,0.610,0.060
1,14:57,2,10,CLE 25,Tyrod Taylor left tackle for 2 yards (tackle by Brandon Copeland),0,0,0.060,-0.360
1,14:18,3,8,CLE 27,Tyrod Taylor pass incomplete deep left intended for Antonio Callaway,0,0,-0.360,-1.570
1,14:12,4,8,CLE 27,Britton Colquitt punts 44 yards fair catch by Andre Roberts,0,0,-1.570,-0.870
1,14:05,1,10,NYJ 29,Bilal Powell left end for 4 yards (tackle by Jabrill Peppers),0,0,0.870,0.870
1,13:27,2,6,NYJ 33,Sam Darnold pass complete short left to Christopher Herndon for -8 yards (tackle by Denzel Ward),0,0,0.870,-0.890
1,12:41,3,14,NYJ 25,Sam Darnold pass incomplete short left intended for Bilal Powell,0,0,-0.890,-1.700
1,12:35,4,14,NYJ 25,Lac Edwards punts 51 yards returned by Jabrill Peppers for 2 yards (tackle by Doug Middleton),0,0,-1.700,-0.670
1,12:24,1,10,CLE 26,Tyrod Taylor pass incomplete short left intended for Jarvis Landry (defended by Steve McLendon),0,0,0.670,0.130
1,12:20,2,10,CLE 26,Tyrod Taylor pass incomplete deep left intended for Jarvis Landry,0,0,0.130,-0.560
1,12:13,3,10,CLE 26,Tyrod Taylor for 22 yards (tackle by Doug Middleton),0,0,-0.560,2.130
1,11:44,1,10,CLE 48,Tyrod Taylor pass incomplete short right intended for Jarvis Landry,0,0,2.130,1.580
1,11:37,2,10,CLE 48,Carlos Hyde left end for 4 yards (tackle by Avery Williamson),0,0,1.580,1.420
1,11:01,3,6,NYJ 48,Tyrod Taylor pass incomplete deep middle intended for Antonio Callaway,0,0,1.420,0.070
1,10:50,4,6,NYJ 48,Britton Colquitt punts 47 yards,0,0,0.070,0.380
1,10:42,1,10,NYJ 1,Isaiah Crowell left guard for 1 yard (tackle by James Burgess),0,0,-0.380,-0.710
1,10:10,2,9,NYJ 2,Isaiah Crowell right tackle for 2 yards (tackle by Jabrill Peppers),0,0,-0.710,-1.070
1,9:25,3,7,NYJ 4,Sam Darnold pass incomplete short left intended for Isaiah Crowell,0,0,-1.070,-2.490
1,9:21,4,7,NYJ 4,Lac Edwards punts 43 yards returned by Jabrill Peppers for 8 yards (tackle by Kevin Pierre-Louis),0,0,-2.490,-2.980
1,9:11,1,10,NYJ 39,Tyrod Taylor sacked by Avery Williamson for -7 yards,0,0,2.980,1.500
1,8:35,2,17,NYJ 46,Tyrod Taylor left guard for 3 yards (tackle by Jamal Adams),0,0,1.500,1.220
1,7:53,3,14,NYJ 43,Tyrod Taylor pass complete short right to Antonio Callaway for 2 yards (tackle by Darron Lee),0,0,1.220,0.530
1,7:25,4,12,NYJ 41,Britton Colquitt punts 30 yards fair catch by Andre Roberts,0,0,0.530,0.370
1,7:18,1,10,NYJ 11,Bilal Powell right end for 7 yards (tackle by T.J. Carrie),0,0,-0.370,0.000
1,6:42,2,3,NYJ 18,Sam Darnold pass complete short left to Quincy Enunwa for 14 yards (tackle by Damarious Randall),0,0,0.000,1.070
1,6:10,1,10,NYJ 32,Sam Darnold pass incomplete short right intended for Terrelle Pryor,0,0,1.070,0.530
1,6:04,2,10,NYJ 32,Bilal Powell left tackle for no gain (tackle by Jamie Collins and Larry Ogunjobi),0,0,0.530,-0.160
1,5:22,3,10,NYJ 32,Sam Darnold sacked by Myles Garrett for -6 yards,0,0,-0.160,-1.630
1,4:45,4,16,NYJ 26,Lac Edwards punts 62 yards returned by Jabrill Peppers for 5 yards (tackle by Terrence Brooks). Penalty on Denzel Rice: Offensive Holding 6 yards,0,0,-1.630,0.380
1,4:32,1,10,CLE 6,Carlos Hyde right tackle for 22 yards (tackle by Doug Middleton),0,0,-0.380,0.810
1,4:08,1,10,CLE 28,Carlos Hyde right tackle for 5 yards (tackle by Buster Skrine),0,0,0.810,0.940
1,3:32,2,5,CLE 33,Carlos Hyde right tackle for 3 yards (tackle by Avery Williamson),0,0,0.940,0.630
1,2:49,3,2,CLE 36,Tyrod Taylor left tackle for -5 yards (tackle by Darron Lee),0,0,0.630,-1.310
1,2:21,4,7,CLE 31,Britton Colquitt punts 3 yards muffed catch by Terrence Brooks ball out of bounds at CLE-28,0,0,-1.310,-3.710
1,2:13,1,10,CLE 28,Sam Darnold pass incomplete short left intended for Jermaine Kearse,0,0,3.710,3.170
1,2:10,2,10,CLE 28,Isaiah Crowell right tackle for -1 yards (tackle by Chris Smith),0,0,3.170,2.340
1,1:25,,,,Timeout #1 by New York Jets,0,0,,
1,1:25,3,11,CLE 29,Sam Darnold pass complete short left to Quincy Enunwa for 16 yards (tackle by Jabrill Peppers and Damarious Randall),0,0,2.340,4.710
1,0:40,1,10,CLE 13,Isaiah Crowell right end for 6 yards (tackle by Derrick Kindred),0,0,4.710,5.150
2,15:00,2,4,CLE 7,Isaiah Crowell left end for 7 yards touchdown,6,0,5.150,7.000
2,14:56,,,CLE 15,Jason Myers kicks extra point good,7,0,0.000,0.000
2,14:56,,,NYJ 35,Jason Myers kicks off 65 yards touchback,7,0,0.000,-0.610
2,14:56,1,10,CLE 25,Tyrod Taylor pass incomplete deep middle intended for Antonio Callaway (defended by Trumaine Johnson),7,0,0.610,0.060
2,14:48,2,10,CLE 25,Carlos Hyde right guard for 4 yards (tackle by Avery Williamson and Mike Pennel),7,0,0.060,-0.100
2,14:10,3,6,CLE 29,Tyrod Taylor sacked by Buster Skrine and Henry Anderson for -9 yards,7,0,-0.100,-2.030
2,13:41,4,15,CLE 20,Britton Colquitt punts 55 yards returned by Andre Roberts for 12 yards (tackle by Briean Boddy-Calhoun),7,0,-2.030,-1.400
2,13:31,1,10,NYJ 37,Sam Darnold pass incomplete short right intended for Eric Tomlinson (defended by Joe Schobert),7,0,1.400,0.860
2,13:25,2,10,NYJ 37,Bilal Powell left guard for 14 yards (tackle by Terrance Mitchell),7,0,0.860,2.320
2,12:55,1,10,CLE 49,Bilal Powell left tackle for 8 yards (tackle by Joe Schobert),7,0,2.320,2.860
2,12:09,,,,Timeout #2 by New York Jets,7,0,,
2,12:09,2,2,CLE 41,Bilal Powell left tackle for 8 yards (tackle by Larry Ogunjobi),7,0,2.860,3.380
2,11:27,1,10,CLE 33,Isaiah Crowell left end for 8 yards (tackle by Joe Schobert),7,0,3.380,3.920
2,10:55,2,2,CLE 25,Isaiah Crowell left tackle for -2 yards (tackle by Larry Ogunjobi),7,0,3.920,2.940
2,10:10,3,4,CLE 27,Sam Darnold pass complete short right to Quincy Enunwa for 16 yards (tackle by Trevon Coley),7,0,2.940,4.840
2,9:26,1,10,CLE 11,Isaiah Crowell left end for 6 yards (tackle by Terrance Mitchell),7,0,4.840,5.280
2,8:42,2,4,CLE 5,Isaiah Crowell right guard for 3 yards (tackle by Joe Schobert),7,0,5.280,5.120
2,7:59,3,1,CLE 2,Isaiah Crowell left end for 2 yards touchdown. Penalty on Isaiah Crowell: Unsportsmanlike Conduct 15 yards,13,0,5.120,7.000
2,7:54,,,CLE 15,Jason Myers kicks extra point good,14,0,0.000,0.000
2,7:54,,,NYJ 20,Jason Myers kicks off 73 yards returned by T.J. Carrie for 19 yards (tackle by Neville Hewitt),14,0,0.000,-0.670
2,7:49,1,10,CLE 26,Tyrod Taylor pass complete short left to Carlos Hyde for no gain,14,0,0.670,0.130
2,7:11,2,10,CLE 26,Tyrod Taylor pass incomplete short right intended for Antonio Callaway,14,0,0.130,-0.560
2,7:06,3,10,CLE 26,Tyrod Taylor pass incomplete short right intended for Jarvis Landry. Penalty on Trumaine Johnson: Unsportsmanlike Conduct 15 yards,14,0,-0.560,1.660
2,7:00,1,10,CLE 41,Nick Chubb right tackle for no gain (tackle by Nathan Shepherd and Henry Anderson),14,0,1.660,1.120
2,6:27,2,10,CLE 41,Tyrod Taylor right end for 9 yards (tackle by Trumaine Johnson). Penalty on J.C. Tretter: Offensive Holding (Offsetting) Penalty on Trumaine Johnson: Unnecessary Roughness (Offsetting) (no play),14,0,1.120,1.120
2,6:10,2,10,CLE 41,Carlos Hyde left guard for -2 yards (tackle by Darron Lee),14,0,1.120,0.170
2,5:30,3,12,CLE 39,Tyrod Taylor pass complete short right to Jarvis Landry for 12 yards,14,0,0.170,2.320
2,4:53,1,10,NYJ 49,Tyrod Taylor pass complete short right to Carlos Hyde for 5 yards (tackle by Darron Lee),14,0,2.320,2.460
2,4:20,2,5,NYJ 44,Carlos Hyde left guard for 11 yards (tackle by Doug Middleton),14,0,2.460,3.380
2,3:38,1,10,NYJ 33,Duke Johnson right guard for 8 yards (tackle by Avery Williamson),14,0,3.380,3.920
2,3:07,,,,Timeout #1 by Cleveland Browns,14,0,,
2,3:07,2,2,NYJ 25,Tyrod Taylor pass incomplete. Penalty on Tyrod Taylor: Intentional Grounding 10 yards,14,0,3.920,1.880
2,3:01,3,12,NYJ 35,Tyrod Taylor sacked by Avery Williamson for -6 yards. Penalty on Chris Hubbard: Offensive Holding (Declined),14,0,1.880,0.530
2,2:55,4,18,NYJ 41,Britton Colquitt punts 32 yards,14,0,0.530,0.380
2,2:45,1,10,NYJ 9,Bilal Powell left end for -2 yards (tackle by James Burgess),14,0,-0.380,-0.930
2,2:00,2,12,NYJ 7,Isaiah Crowell right guard for -2 yards (tackle by Chris Smith). Penalty on Spencer Long: Offensive Holding (Declined),14,0,-0.930,-1.890
2,1:54,3,14,NYJ 5,Isaiah Crowell left tackle for 1 yard (tackle by Myles Garrett),14,0,-1.890,-2.490
2,1:49,,,,Timeout #2 by Cleveland Browns,14,0,,
2,1:49,4,13,NYJ 6,Lac Edwards punts 50 yards fair catch by Jarvis Landry. Penalty on T.J. Carrie: Offensive Holding 10 yards,14,0,-2.490,-1.200
2,1:42,1,10,CLE 34,Baker Mayfield pass complete short middle to Jarvis Landry for 14 yards (tackle by Doug Middleton),14,0,1.200,2.130
2,1:20,1,10,CLE 48,Baker Mayfield pass complete deep middle to David Njoku for 17 yards (tackle by Doug Middleton),14,0,2.130,3.250
2,0:59,1,10,NYJ 35,Baker Mayfield sacked by Jordan Jenkins for -8 yards. Baker Mayfield fumbles (forced by Jordan Jenkins) recovered by Joel Bitonio at NYJ-43,14,0,3.250,1.620
2,0:49,,,,Timeout #3 by Cleveland Browns,14,0,,
2,0:49,2,18,NYJ 43,Baker Mayfield pass complete short middle to Jarvis Landry for 16 yards (tackle by Parry Nickerson and Brandon Copeland),14,0,1.620,3.070
2,0:33,3,2,NYJ 27,Baker Mayfield pass incomplete short left intended for Antonio Callaway (defended by Morris Claiborne),14,0,3.070,1.800
2,0:27,4,2,NYJ 27,Greg Joseph 45 yard field goal good,14,3,1.800,3.000
2,0:23,,,CLE 35,Greg Joseph kicks off 64 yards out of bounds,14,3,0.000,-1.600
2,0:23,1,10,NYJ 40,Sam Darnold pass incomplete short left intended for Quincy Enunwa,14,3,1.600,1.050
2,0:18,2,10,NYJ 40,Sam Darnold pass complete short right to Christopher Herndon for 7 yards (tackle by Jamie Collins),14,3,1.050,1.290
2,0:14,3,3,NYJ 47,Sam Darnold pass incomplete short left intended for Terrelle Pryor,14,3,1.290,-0.260
2,0:10,4,3,NYJ 47,Lac Edwards punts 34 yards out of bounds,14,3,-0.260,-0.150
2,0:05,1,10,CLE 19,Baker Mayfield kneels for -1 yards,14,3,0.150,-0.560
3,15:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,14,3,0.000,-0.610
3,15:00,1,10,NYJ 25,Sam Darnold pass complete short right to Isaiah Crowell for 7 yards (tackle by Jabrill Peppers),14,3,0.610,1.010
3,14:29,2,3,NYJ 32,Isaiah Crowell left guard for -3 yards (tackle by Larry Ogunjobi),14,3,1.010,-0.100
3,13:45,3,6,NYJ 29,Sam Darnold pass complete short right to Isaiah Crowell for 10 yards (tackle by Jamie Collins),14,3,-0.100,1.530
3,13:03,1,10,NYJ 39,Bilal Powell right end for -1 yards (tackle by Joe Schobert and James Burgess),14,3,1.530,0.850
3,12:44,2,11,NYJ 38,Sam Darnold pass incomplete short left intended for Robby Anderson,14,3,0.850,0.170
3,12:38,3,11,NYJ 38,Sam Darnold pass incomplete short right intended for Jermaine Kearse,14,3,0.170,-0.850
3,12:35,4,11,NYJ 38,Lac Edwards punts 54 yards returned by Jarvis Landry for 17 yards (tackle by Thomas Hennessy). Penalty on Denzel Rice: Illegal Block Above the Waist 5 yards,14,3,-0.850,0.380
3,12:25,1,10,CLE 5,Carlos Hyde right guard for 9 yards (tackle by Darryl Roberts and Jamal Adams),14,3,-0.380,-0.100
3,11:49,2,1,CLE 14,Carlos Hyde right tackle for 2 yards (tackle by Darryl Roberts),14,3,-0.100,-0.140
3,11:17,1,10,CLE 16,Baker Mayfield pass complete short middle to David Njoku for 19 yards (tackle by Jamal Adams and Avery Williamson),14,3,-0.140,1.270
3,10:39,1,10,CLE 35,Carlos Hyde left guard for no gain (tackle by Morris Claiborne),14,3,1.270,0.720
3,10:02,2,10,CLE 35,Baker Mayfield pass complete short right to Rashard Higgins for 5 yards (tackle by Trumaine Johnson),14,3,0.720,0.700
3,9:30,3,5,CLE 40,Baker Mayfield pass complete short right to Duke Johnson for 9 yards (tackle by Frankie Luvu). Penalty on Parry Nickerson: Defensive Holding (Declined),14,3,0.700,2.190
3,9:08,1,10,CLE 49,Duke Johnson left tackle for 1 yard (tackle by Frankie Luvu),14,3,2.190,1.780
3,8:22,2,9,50,Baker Mayfield pass incomplete deep right intended for Orson Charles,14,3,1.780,1.090
3,8:13,3,9,50,Baker Mayfield pass complete short middle to Antonio Callaway for 5 yards (tackle by J.J. Wilcox),14,3,1.090,0.270
3,7:41,4,4,NYJ 45,Britton Colquitt punts 33 yards out of bounds,14,3,0.270,0.350
3,7:35,1,10,NYJ 12,Penalty on James Carpenter: False Start 5 yards (no play),14,3,-0.350,-0.570
3,7:35,1,15,NYJ 7,Bilal Powell left tackle for 7 yards (tackle by Damarious Randall),14,3,-0.570,-0.610
3,6:54,2,8,NYJ 14,Penalty on Eric Tomlinson: False Start 5 yards (no play),14,3,-0.610,-1.000
3,6:31,2,13,NYJ 9,Sam Darnold pass complete short right to Robby Anderson for 17 yards (tackle by Denzel Ward). Robby Anderson fumbles (forced by Denzel Ward) recovered by Denzel Ward at NYJ-28 and returned for 20 yards (tackle by Robby Anderson),14,3,-1.000,-5.370
3,6:19,1,8,NYJ 8,Carlos Hyde right guard for no gain (tackle by Avery Williamson),14,3,5.370,4.570
3,5:35,2,8,NYJ 8,Baker Mayfield pass incomplete short right intended for Carlos Hyde,14,3,4.570,3.580
3,5:29,3,8,NYJ 8,Baker Mayfield pass incomplete short middle intended for Jarvis Landry (defended by Doug Middleton),14,3,3.580,2.950
3,5:24,4,8,NYJ 8,Greg Joseph 27 yard field goal good,14,6,2.950,3.000
3,5:21,,,CLE 35,Greg Joseph kicks off 67 yards returned by Andre Roberts for 36 yards (tackle by E.J. Gaines). Penalty on Christopher Herndon: Offensive Holding 10 yards,14,6,0.000,0.380
3,5:13,1,10,NYJ 10,Sam Darnold pass complete short left to Eric Tomlinson for 14 yards (tackle by Larry Ogunjobi),14,6,-0.380,0.540
3,4:29,1,10,NYJ 24,Isaiah Crowell left guard for 3 yards (tackle by Trevon Coley and Larry Ogunjobi),14,6,0.540,0.400
3,3:50,2,7,NYJ 27,Sam Darnold pass incomplete short right intended for Quincy Enunwa (defended by T.J. Carrie),14,6,0.400,-0.300
3,3:45,3,7,NYJ 27,Sam Darnold pass incomplete short right intended for Quincy Enunwa (defended by Genard Avery),14,6,-0.300,-1.570
3,3:41,4,7,NYJ 27,Lac Edwards punts 50 yards returned by Jarvis Landry for 8 yards (tackle by Terrence Brooks),14,6,-1.570,-1.000
3,3:31,1,10,CLE 31,Baker Mayfield pass complete short right to Rashard Higgins for 8 yards,14,6,1.000,1.540
3,3:09,2,2,CLE 39,Carlos Hyde left end for 1 yard (tackle by Steve McLendon and Darron Lee),14,6,1.540,0.960
3,2:34,3,1,CLE 40,Baker Mayfield pass complete short left to Jarvis Landry for 16 yards (tackle by Morris Claiborne). Penalty on Morris Claiborne: Defensive Holding (Declined),14,6,0.960,2.650
3,2:09,1,10,NYJ 44,Carlos Hyde right guard for 11 yards (tackle by Morris Claiborne),14,6,2.650,3.380
3,1:50,1,10,NYJ 33,Baker Mayfield pass complete short right to Antonio Callaway for 3 yards (tackle by Trumaine Johnson),14,6,3.380,3.240
3,1:19,2,7,NYJ 30,Baker Mayfield pass complete deep right to Jarvis Landry for 29 yards (tackle by Doug Middleton),14,6,3.240,6.970
3,0:47,1,1,NYJ 1,Carlos Hyde right tackle for 1 yard touchdown,14,12,6.970,7.000
3,0:42,,,NYJ 2,Two Point Attempt: Baker Mayfield conversion fails. Penalty on Morris Claiborne: Defensive Holding (Offsetting) Penalty on Desmond Harrison: Offensive Holding (Offsetting) (no play),14,12,0.000,0.000
3,0:42,,,CLE 2,Two Point Attempt: Jarvis Landry pass complete to Baker Mayfield conversion succeeds,14,14,0.000,1.000
3,0:42,,,CLE 35,Greg Joseph kicks off 65 yards touchback,14,14,0.000,-0.610
3,0:42,1,10,NYJ 25,Bilal Powell right tackle for 9 yards (tackle by Denzel Ward),14,14,0.610,1.280
4,15:00,2,1,NYJ 34,Bilal Powell right guard for 21 yards (tackle by Damarious Randall),14,14,1.280,2.590
4,14:26,1,10,CLE 45,Bilal Powell right guard for no gain (tackle by Larry Ogunjobi and Joe Schobert),14,14,2.590,2.040
4,13:45,2,10,CLE 45,Sam Darnold pass incomplete short right intended for Jordan Leggett,14,14,2.040,1.360
4,13:35,3,10,CLE 45,Sam Darnold pass complete short right to Jermaine Kearse for 14 yards (tackle by Denzel Ward),14,14,1.360,3.510
4,13:02,1,10,CLE 31,Isaiah Crowell left end for 4 yards (tackle by Joe Schobert and Terrance Mitchell),14,14,3.510,3.510
4,12:19,2,6,CLE 27,Isaiah Crowell left end for -1 yards (tackle by Genard Avery),14,14,3.510,2.680
4,11:47,3,7,CLE 28,Sam Darnold pass complete short right to Quincy Enunwa for 11 yards (tackle by Derrick Kindred),14,14,2.680,4.440
4,11:05,1,10,CLE 17,Bilal Powell right guard for no gain (tackle by Larry Ogunjobi and T.J. Carrie),14,14,4.440,3.850
4,10:24,2,10,CLE 17,Bilal Powell right guard for -2 yards (tackle by Chris Smith),14,14,3.850,2.910
4,9:42,3,12,CLE 19,Sam Darnold pass complete short middle to Jermaine Kearse for 9 yards (tackle by Derrick Kindred),14,14,2.910,2.860
4,8:58,4,3,CLE 10,Jason Myers 28 yard field goal good,17,14,2.860,3.000
4,8:56,,,NYJ 35,Jason Myers kicks off 65 yards touchback,17,14,0.000,-0.610
4,8:56,1,10,CLE 25,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,17,14,0.610,0.060
4,8:50,2,10,CLE 25,Carlos Hyde left guard for 10 yards (tackle by Avery Williamson and Doug Middleton),17,14,0.060,1.270
4,8:13,1,10,CLE 35,Baker Mayfield pass complete short right to Jarvis Landry for 4 yards (tackle by Morris Claiborne),17,14,1.270,1.260
4,7:35,2,6,CLE 39,Carlos Hyde right guard for 1 yard (tackle by Jamal Adams and Avery Williamson),17,14,1.260,0.700
4,6:53,3,5,CLE 40,Baker Mayfield pass complete short right to Duke Johnson for 15 yards (tackle by Trumaine Johnson and Avery Williamson). Duke Johnson fumbles (forced by Trumaine Johnson) recovered by Rashard Higgins at NYJ-45,17,14,0.700,2.590
4,6:11,1,10,NYJ 45,Baker Mayfield pass complete deep right to Rashard Higgins for 19 yards (tackle by Doug Middleton),17,14,2.590,3.840
4,5:45,1,10,NYJ 26,Baker Mayfield pass incomplete short left intended for Jarvis Landry,17,14,3.840,3.300
4,5:39,2,10,NYJ 26,Carlos Hyde left guard for no gain (tackle by Henry Anderson and Darron Lee),17,14,3.300,2.610
4,4:58,3,10,NYJ 26,Baker Mayfield pass complete short right to Antonio Callaway for 10 yards (tackle by Jamal Adams),17,14,2.610,4.510
4,4:54,1,10,NYJ 16,Carlos Hyde right guard for 7 yards. Penalty on Jarvis Landry: Illegal Block Above the Waist 10 yards,17,14,4.510,4.280
4,4:47,1,13,NYJ 19,Baker Mayfield pass complete short middle to Jarvis Landry for 12 yards (tackle by Doug Middleton),17,14,4.280,5.540
4,4:10,2,1,NYJ 7,Nick Chubb right guard for 6 yards (tackle by Darron Lee and Parry Nickerson),17,14,5.540,6.970
4,3:28,1,1,NYJ 1,Carlos Hyde left tackle for no gain (tackle by Avery Williamson),17,14,6.970,5.910
4,2:48,2,1,NYJ 1,Baker Mayfield pass complete short left to Jarvis Landry for no gain,17,14,5.910,5.170
4,2:07,3,1,NYJ 1,Carlos Hyde right guard for 1 yard touchdown,17,20,5.170,7.000
4,2:04,,,NYJ 15,Greg Joseph kicks extra point good,17,21,0.000,0.000
4,2:04,,,CLE 35,Greg Joseph kicks off 65 yards touchback,17,21,0.000,-0.610
4,2:04,1,10,NYJ 25,Sam Darnold pass incomplete short left intended for Quincy Enunwa (defended by Myles Garrett),17,21,0.610,0.060
4,2:00,2,10,NYJ 25,Sam Darnold pass complete short left to Robby Anderson for 5 yards (tackle by Terrance Mitchell),17,21,0.060,0.040
4,1:55,3,5,NYJ 30,Penalty on Brandon Shell: False Start 5 yards (no play),17,21,0.040,-0.620
4,1:55,3,10,NYJ 25,Sam Darnold pass incomplete,17,21,-0.620,-1.700
4,1:48,4,10,NYJ 25,Sam Darnold pass complete short right to Jermaine Kearse for 12 yards (tackle by Joe Schobert),17,21,-1.700,1.400
4,1:27,1,10,NYJ 37,Sam Darnold pass incomplete short middle intended for Jermaine Kearse is intercepted by Joe Schobert at NYJ-43,17,21,1.400,-2.720
4,1:21,1,10,NYJ 43,Carlos Hyde left guard for 4 yards (tackle by Jordan Jenkins),17,21,2.720,2.720
4,1:16,,,,Timeout #1 by New York Jets,17,21,,
4,1:16,2,6,NYJ 39,Carlos Hyde right guard for no gain (tackle by Avery Williamson),17,21,2.720,2.010
4,1:11,,,,Timeout #2 by New York Jets,17,21,,
4,1:11,3,6,NYJ 39,Carlos Hyde right guard for 4 yards (tackle by Jamal Adams),17,21,2.010,0.990
4,1:05,,,,Timeout #3 by New York Jets,17,21,,
4,1:05,4,2,NYJ 35,Britton Colquitt punts 29 yards,17,21,0.990,0.380
4,0:56,1,10,NYJ 6,Sam Darnold pass complete deep right to Terrelle Pryor for 25 yards (tackle by Terrance Mitchell),17,21,-0.380,1.000
4,0:32,1,10,NYJ 31,Sam Darnold sacked by Myles Garrett for -2 yards,17,21,1.000,0.190
4,0:15,2,12,NYJ 29,Sam Darnold pass incomplete deep left intended for Robby Anderson is intercepted by Terrance Mitchell at CLE-34,17,21,0.190,-1.200
4,0:11,1,10,CLE 34,Baker Mayfield kneels for -1 yards,17,21,1.200,0.520