Quarter,Time,Down,ToGo,Location,Detail,LAC,CLE,EPB,EPA
1,15:00,,,LAC 35,Mike Badgley kicks off 65 yards returned by Jabrill Peppers for 23 yards (tackle by Justin Jackson). Penalty on Orson Charles: Illegal Formation (Declined),0,0,0.000,-0.480
1,14:54,1,10,CLE 23,Baker Mayfield pass complete short middle to David Njoku for 14 yards (tackle by Trevor Williams),0,0,0.480,1.400
1,14:34,1,10,CLE 37,Penalty on Damion Square: Neutral Zone Infraction 5 yards (no play),0,0,1.400,2.130
1,14:18,1,5,CLE 42,Baker Mayfield pass incomplete short right intended for Jarvis Landry,0,0,2.130,1.530
1,14:13,2,5,CLE 42,Carlos Hyde right guard for no gain (tackle by Denzel Perryman and Brandon Mebane),0,0,1.530,0.830
1,13:31,3,5,CLE 42,Baker Mayfield sacked by Rayshawn Jenkins and Corey Liuget for -7 yards,0,0,0.830,-1.040
1,12:54,4,12,CLE 35,Britton Colquitt punts 54 yards returned by Desmond King for 32 yards (tackle by Seth Devalve),0,0,-1.040,-1.800
1,12:46,1,10,LAC 43,Philip Rivers pass complete short right to Melvin Gordon for 4 yards (tackle by Jamie Collins),0,0,1.800,1.790
1,12:06,2,6,LAC 47,Melvin Gordon left tackle for 16 yards (tackle by Damarious Randall),0,0,1.790,3.120
1,11:25,1,10,CLE 37,Keenan Allen left end for 16 yards (tackle by Damarious Randall),0,0,3.120,4.170
1,10:50,1,10,CLE 21,Philip Rivers pass complete short left to Keenan Allen for 17 yards (tackle by Damarious Randall),0,0,4.170,6.280
1,10:20,1,4,CLE 4,Melvin Gordon left end for 4 yards touchdown,6,0,6.280,7.000
1,10:14,,,CLE 15,Mike Badgley kicks extra point good,7,0,0.000,0.000
1,10:14,,,LAC 35,Mike Badgley kicks off 60 yards returned by Antonio Callaway for 18 yards (tackle by Geremy Davis),7,0,0.000,-0.480
1,10:09,1,10,CLE 23,Carlos Hyde right guard for 9 yards (tackle by Derwin James),7,0,0.480,1.150
1,9:33,2,1,CLE 32,Carlos Hyde right tackle for 3 yards (tackle by Derwin James). Penalty on Desmond Harrison: Face Mask (15 Yards) 15 yards,7,0,1.150,-0.470
1,9:08,2,13,CLE 20,Baker Mayfield pass complete short left to Orson Charles for 8 yards (tackle by Uchenna Nwosu),7,0,-0.470,-0.100
1,8:35,3,5,CLE 28,Baker Mayfield pass complete deep left to Duke Johnson for 32 yards (tackle by Jahleel Addae),7,0,-0.100,2.920
1,8:08,1,10,LAC 40,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,7,0,2.920,2.370
1,8:01,2,10,LAC 40,Carlos Hyde right guard for 2 yards (tackle by Denzel Perryman and Isaac Rochell),7,0,2.370,1.950
1,7:22,3,8,LAC 38,Baker Mayfield pass incomplete short right intended for Antonio Callaway,7,0,1.950,0.720
1,7:15,4,8,LAC 38,Britton Colquitt punts 34 yards,7,0,0.720,0.380
1,7:04,1,10,LAC 4,Melvin Gordon left guard for 4 yards (tackle by Emmanuel Ogbah),7,0,-0.380,-0.490
1,6:26,2,6,LAC 8,Philip Rivers pass incomplete short right intended for Melvin Gordon,7,0,-0.490,-0.950
1,6:23,3,6,LAC 8,Philip Rivers pass incomplete short left intended for Mike Williams,7,0,-0.950,-2.490
1,6:18,4,6,LAC 8,Donnie Jones punts 41 yards returned by Jabrill Peppers for 14 yards (tackle by Nick Dzubnar). Penalty on Damion Ratley: Offensive Holding 10 yards,7,0,-2.490,-1.990
1,6:10,1,10,CLE 46,Baker Mayfield pass incomplete,7,0,1.990,1.450
1,6:03,2,10,CLE 46,Carlos Hyde left guard for 3 yards (tackle by Jahleel Addae),7,0,1.450,1.160
1,5:24,3,7,CLE 49,Baker Mayfield left end for 6 yards (tackle by Rayshawn Jenkins),7,0,1.160,0.270
1,4:55,4,1,LAC 45,Baker Mayfield right guard for 2 yards (tackle by Jahleel Addae),7,0,0.270,2.720
1,4:16,1,10,LAC 43,Carlos Hyde left guard for no gain (tackle by Corey Liuget),7,0,2.720,2.180
1,3:40,2,10,LAC 43,Baker Mayfield pass complete short middle to David Njoku for 4 yards (tackle by Denzel Perryman),7,0,2.180,2.010
1,3:00,3,6,LAC 39,Baker Mayfield sacked by Isaac Rochell for -7 yards. Penalty on Jahleel Addae: Illegal Use of Hands 5 yards (no play),7,0,2.010,3.310
1,2:29,1,10,LAC 34,Baker Mayfield sacked by Damion Square and Derwin James for -2 yards,7,0,3.310,2.500
1,1:53,2,12,LAC 36,Baker Mayfield sacked by Damion Square for -4 yards,7,0,2.500,1.290
1,1:07,3,16,LAC 40,Baker Mayfield pass incomplete deep right intended for Antonio Callaway,7,0,1.290,0.590
1,1:00,4,16,LAC 40,Britton Colquitt punts 32 yards fair catch by Keenan Allen. Penalty on Brandon Facyson: Illegal Use of Hands 4 yards,7,0,0.590,0.380
1,0:54,1,10,LAC 4,Philip Rivers pass incomplete deep right intended for Mike Williams,7,0,-0.380,-0.780
1,0:50,2,10,LAC 4,Melvin Gordon left tackle for 5 yards (tackle by Jamie Collins),7,0,-0.780,-0.840
1,0:06,3,5,LAC 9,Philip Rivers pass incomplete short middle intended for Mike Williams (defended by Christian Kirksey). Penalty on Russell Okung: Offensive Holding (Declined),7,0,-0.840,-2.490
1,0:01,4,5,LAC 9,Donnie Jones punts 37 yards returned by Jabrill Peppers for 13 yards (tackle by Michael Davis),7,0,-2.490,-3.380
2,15:00,1,10,LAC 33,Baker Mayfield pass incomplete deep right intended for Damion Ratley,7,0,3.380,2.840
2,14:54,2,10,LAC 33,Carlos Hyde right guard for 5 yards (tackle by Casey Hayward),7,0,2.840,2.810
2,14:10,3,5,LAC 28,Baker Mayfield pass complete short left to Antonio Callaway for 9 yards,7,0,2.810,4.310
2,13:40,1,10,LAC 19,Carlos Hyde right guard for 4 yards (tackle by Denzel Perryman),7,0,4.310,4.350
2,12:58,2,6,LAC 15,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Desmond King),7,0,4.350,3.580
2,12:54,3,6,LAC 15,Baker Mayfield pass incomplete short right intended for Jarvis Landry,7,0,3.580,2.470
2,12:50,4,6,LAC 15,Greg Joseph 33 yard field goal good,7,3,2.470,3.000
2,12:47,,,CLE 35,Greg Joseph kicks off 65 yards touchback,7,3,0.000,-0.610
2,12:47,1,10,LAC 25,Philip Rivers pass complete short right to Antonio Gates for 5 yards (tackle by Trevon Coley),7,3,0.610,0.740
2,12:08,2,5,LAC 30,Melvin Gordon right tackle for 13 yards (tackle by Damarious Randall),7,3,0.740,1.800
2,11:31,1,10,LAC 43,Melvin Gordon right tackle for 7 yards (tackle by Denzel Ward),7,3,1.800,2.200
2,10:55,2,3,50,Keenan Allen for no gain. Keenan Allen fumbles recovered by Austin Ekeler at LAC-31,7,3,2.200,-1.020
2,10:05,3,22,LAC 31,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Myles Garrett),7,3,-1.020,-1.310
2,10:02,4,22,LAC 31,Donnie Jones punts 41 yards returned by Jabrill Peppers for 33 yards (tackle by Rayshawn Jenkins),7,3,-1.310,-2.980
2,9:47,1,10,LAC 39,Baker Mayfield pass complete short left to Jarvis Landry for 4 yards (tackle by Michael Davis),7,3,2.980,2.980
2,9:10,2,6,LAC 35,Carlos Hyde left tackle for no gain (tackle by Darius Philon),7,3,2.980,2.280
2,8:28,3,6,LAC 35,Baker Mayfield sacked by Isaac Rochell for -5 yards,7,3,2.280,0.590
2,7:54,4,11,LAC 40,Britton Colquitt punts 29 yards muffed catch by Keenan Allen recovered by Keenan Allen and returned for no gain,7,3,0.590,0.370
2,7:46,1,10,LAC 11,Philip Rivers pass complete deep middle to Tyrell Williams for 44 yards (tackle by E.J. Gaines),7,3,-0.370,2.590
2,6:43,1,10,CLE 45,Philip Rivers pass complete deep left to Tyrell Williams for 45 yards touchdown,13,3,2.590,7.000
2,6:34,,,CLE 15,Mike Badgley kicks extra point good,14,3,0.000,0.000
2,6:34,,,LAC 35,Mike Badgley kicks off 65 yards returned by Jabrill Peppers for 21 yards (tackle by Austin Ekeler),14,3,0.000,-0.340
2,6:28,1,10,CLE 21,Baker Mayfield pass complete short left to Damion Ratley for 8 yards (tackle by Michael Davis),14,3,0.340,0.880
2,5:51,2,2,CLE 29,Carlos Hyde left guard for 3 yards (tackle by Adrian Phillips),14,3,0.880,1.070
2,5:12,1,10,CLE 32,Nick Chubb right end for 4 yards (tackle by Damion Square),14,3,1.070,1.070
2,4:34,2,6,CLE 36,Baker Mayfield pass complete deep right to David Njoku for 22 yards (tackle by Jahleel Addae),14,3,1.070,2.790
2,4:05,1,10,LAC 42,Nick Chubb left tackle for 19 yards (tackle by Derwin James). Penalty on Damion Ratley: Offensive Holding 10 yards,14,3,2.790,4.100
2,3:49,1,1,LAC 33,Baker Mayfield pass complete short right to David Njoku for 2 yards (tackle by Desmond King),14,3,4.100,3.510
2,3:13,1,10,LAC 31,Baker Mayfield pass incomplete short left intended for Jarvis Landry,14,3,3.510,2.970
2,3:09,2,10,LAC 31,Baker Mayfield pass complete short right to Damion Ratley for 8 yards (tackle by Michael Davis),14,3,2.970,3.340
2,2:25,3,2,LAC 23,Baker Mayfield pass incomplete,14,3,3.340,2.050
2,2:19,4,2,LAC 23,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,14,3,2.050,-0.480
2,2:13,1,10,LAC 23,Melvin Gordon left tackle for 14 yards (tackle by Denzel Ward),14,3,0.480,1.400
2,2:00,1,10,LAC 37,Philip Rivers pass complete short right to Keenan Allen for 16 yards,14,3,1.400,2.460
2,1:53,1,10,CLE 47,Philip Rivers pass complete short right to Melvin Gordon for 14 yards,14,3,2.460,3.380
2,1:47,1,10,CLE 33,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Joe Schobert),14,3,3.380,2.840
2,1:42,2,10,CLE 33,Philip Rivers pass complete short left to Mike Williams for 4 yards (tackle by T.J. Carrie),14,3,2.840,2.680
2,0:57,,,,Timeout #1 by Los Angeles Chargers,14,3,,
2,0:57,3,6,CLE 29,Philip Rivers pass complete deep right to Tyrell Williams for 29 yards touchdown,20,3,2.680,7.000
2,0:51,,,CLE 15,Mike Badgley kicks extra point good,21,3,0.000,0.000
2,0:51,,,LAC 35,Mike Badgley kicks off 61 yards returned by Jabrill Peppers for 27 yards (tackle by Nick Dzubnar),21,3,0.000,-1.000
2,0:45,1,10,CLE 31,Baker Mayfield pass complete short left to Duke Johnson for 14 yards (tackle by Jahleel Addae),21,3,1.000,1.930
2,0:37,1,10,CLE 45,Baker Mayfield pass complete short right to Duke Johnson for 11 yards (tackle by Casey Hayward and Rayshawn Jenkins),21,3,1.930,2.650
2,0:28,,,,Timeout #1 by Cleveland Browns,21,3,,
2,0:28,1,10,LAC 44,Baker Mayfield pass incomplete,21,3,2.650,2.110
2,0:21,2,10,LAC 44,Baker Mayfield pass complete short left to Jarvis Landry for 7 yards (tackle by Desmond King),21,3,2.110,2.350
2,0:18,3,3,LAC 37,Baker Mayfield pass complete deep right to Damion Ratley for 27 yards (tackle by Trevor Williams),21,3,2.350,4.910
2,0:11,,,,Timeout #2 by Cleveland Browns,21,3,,
2,0:11,1,10,LAC 10,Baker Mayfield pass incomplete short right intended for Antonio Callaway (defended by Adrian Phillips),21,3,4.910,4.190
2,0:08,2,10,LAC 10,Baker Mayfield pass incomplete short middle intended for David Njoku,21,3,4.190,3.130
2,0:03,3,10,LAC 10,Greg Joseph 28 yard field goal good. Penalty on Michael Davis: Leaping (Declined),21,6,3.130,3.000
3,15:00,,,CLE 35,Greg Joseph kicks off 68 yards returned by Desmond King for 27 yards (tackle by James Burgess),21,6,0.000,-0.540
3,14:56,1,10,LAC 24,Keenan Allen left end for 20 yards (tackle by Joe Schobert),21,6,0.540,1.860
3,14:12,1,10,LAC 44,Melvin Gordon left tackle for 9 yards (tackle by Derrick Kindred and Jamie Collins),21,6,1.860,2.530
3,13:33,2,1,CLE 47,Melvin Gordon right guard for -4 yards (tackle by Jamie Collins),21,6,2.530,1.290
3,12:47,,,,Timeout #1 by Los Angeles Chargers,21,6,,
3,12:47,3,5,LAC 49,Penalty on Dan Feeney: False Start 5 yards (no play),21,6,1.290,0.630
3,12:47,3,10,LAC 44,Philip Rivers sacked by Joe Schobert and Larry Ogunjobi for -12 yards,21,6,0.630,-1.240
3,12:14,4,22,LAC 32,Donnie Jones punts 47 yards muffed catch by Jabrill Peppers recovered by Jabrill Peppers and returned for no gain,21,6,-1.240,-0.810
3,12:05,1,10,CLE 28,Baker Mayfield pass incomplete short left intended for Jarvis Landry is intercepted by Desmond King at CLE-43 and returned for 33 yards,21,6,0.810,-4.910
3,11:54,1,10,CLE 10,Melvin Gordon right end for 10 yards touchdown,27,6,4.910,7.000
3,11:49,,,CLE 15,Mike Badgley kicks extra point good,28,6,0.000,0.000
3,11:49,,,LAC 35,Mike Badgley kicks off 63 yards returned by Dontrell Hilliard for 31 yards (tackle by Uchenna Nwosu),28,6,0.000,-1.140
3,11:44,1,10,CLE 33,Carlos Hyde right guard for 3 yards (tackle by Denzel Perryman and Brandon Mebane),28,6,1.140,1.000
3,11:11,2,7,CLE 36,Carlos Hyde left guard for no gain (tackle by Adrian Phillips),28,6,1.000,0.300
3,10:36,3,7,CLE 36,Baker Mayfield pass incomplete short middle intended for David Njoku,28,6,0.300,-0.980
3,10:32,4,7,CLE 36,Britton Colquitt punts 49 yards returned by Desmond King for 4 yards (tackle by Briean Boddy-Calhoun),28,6,-0.980,-0.150
3,10:22,1,10,LAC 19,Austin Ekeler right guard for 7 yards (tackle by Joe Schobert),28,6,0.150,0.610
3,9:39,2,3,LAC 26,Philip Rivers pass complete short left to Keenan Allen for 9 yards (tackle by Brian Price),28,6,0.610,1.270
3,9:03,1,10,LAC 35,Keenan Allen right end for 27 yards (tackle by E.J. Gaines). Penalty on Virgil Green: Offensive Holding 10 yards (no play),28,6,1.270,0.610
3,9:03,1,20,LAC 25,Penalty on LAC: Delay of Game 5 yards (no play),28,6,0.610,0.280
3,8:06,1,25,LAC 20,Philip Rivers pass complete deep left to Keenan Allen for 20 yards (tackle by Damarious Randall),28,6,0.280,1.400
3,7:23,2,5,LAC 40,Keenan Allen left end for 5 yards (tackle by James Burgess),28,6,1.400,1.930
3,6:44,1,10,LAC 45,Penalty on Virgil Green: False Start 5 yards (no play),28,6,1.930,1.600
3,6:23,1,15,LAC 40,Philip Rivers pass incomplete deep left intended for Keenan Allen,28,6,1.600,0.710
3,6:18,2,15,LAC 40,Austin Ekeler right tackle for 16 yards (tackle by Jamie Collins),28,6,0.710,2.650
3,5:30,1,10,CLE 44,Philip Rivers pass incomplete deep left intended for Tyrell Williams,28,6,2.650,2.110
3,5:26,2,10,CLE 44,Philip Rivers pass incomplete short middle intended for Tyrell Williams (defended by Denzel Ward). Penalty on Jabrill Peppers: Defensive Holding 5 yards (no play),28,6,2.110,2.980
3,5:21,1,10,CLE 39,Austin Ekeler right guard for 13 yards (tackle by Jabrill Peppers),28,6,2.980,3.840
3,4:40,1,10,CLE 26,Austin Ekeler right guard for 5 yards (tackle by Larry Ogunjobi),28,6,3.840,3.970
3,3:57,2,5,CLE 21,Mike Williams left end for 10 yards (tackle by Damarious Randall),28,6,3.970,4.840
3,3:15,1,10,CLE 11,Melvin Gordon left end for 11 yards touchdown,34,6,4.840,7.000
3,3:12,,,CLE 15,Mike Badgley kicks extra point good,35,6,0.000,0.000
3,3:12,,,LAC 35,Mike Badgley kicks off 65 yards touchback,35,6,0.000,-0.610
3,3:12,1,10,CLE 25,Baker Mayfield pass complete short left to Antonio Callaway for no gain,35,6,0.610,0.060
3,2:53,2,10,CLE 25,Baker Mayfield pass complete short right to Damion Ratley for 6 yards (tackle by Trevor Williams),35,6,0.060,0.170
3,2:34,3,4,CLE 31,Baker Mayfield pass complete short middle to David Njoku for 7 yards (tackle by Rayshawn Jenkins),35,6,0.170,1.470
3,2:13,1,10,CLE 38,Baker Mayfield pass incomplete short middle intended for David Njoku (defended by Adrian Phillips),35,6,1.470,0.920
3,2:07,2,10,CLE 38,Carlos Hyde left guard for 2 yards (tackle by Jahleel Addae and Denzel Perryman),35,6,0.920,0.500
3,1:28,3,8,CLE 40,Baker Mayfield pass incomplete short right intended for Jarvis Landry,35,6,0.500,-0.720
3,1:23,4,8,CLE 40,Britton Colquitt punts 44 yards. Penalty on Geremy Davis: Offensive Holding 8 yards,35,6,-0.720,0.380
3,1:12,1,10,LAC 8,Melvin Gordon left tackle for 8 yards (tackle by Derrick Kindred),35,6,-0.380,-0.090
3,0:28,2,2,LAC 16,Melvin Gordon left tackle for 1 yard (tackle by Jabrill Peppers),35,6,-0.090,-0.370
4,15:00,3,1,LAC 17,Austin Ekeler left end for -2 yards (tackle by Myles Garrett and Brian Price),35,6,-0.370,-2.440
4,14:23,4,3,LAC 15,Donnie Jones punts 42 yards fair catch by Jabrill Peppers. Penalty on Michael Davis: Unnecessary Roughness 15 yards,35,6,-2.440,-2.790
4,14:16,1,10,LAC 42,Nick Chubb left guard for 2 yards (tackle by Denzel Perryman and Brandon Mebane),35,6,2.790,2.510
4,13:52,2,8,LAC 40,Baker Mayfield pass incomplete deep middle intended for Antonio Callaway,35,6,2.510,1.820
4,13:47,3,8,LAC 40,Baker Mayfield pass complete short right to Duke Johnson for 16 yards (tackle by Jahleel Addae),35,6,1.820,3.970
4,13:24,1,10,LAC 24,Baker Mayfield pass complete deep right to Damion Ratley for 23 yards (tackle by Jahleel Addae),35,6,3.970,6.970
4,13:03,1,1,LAC 1,Carlos Hyde left guard for no gain (tackle by Jahleel Addae and Denzel Perryman),35,6,6.970,5.910
4,12:33,2,1,LAC 1,Baker Mayfield pass incomplete short middle intended for Duke Johnson,35,6,5.910,5.170
4,12:30,3,1,LAC 1,Baker Mayfield pass complete short right to David Njoku for 1 yard touchdown,35,12,5.170,7.000
4,12:26,,,LAC 2,Two Point Attempt: Baker Mayfield pass complete to Antonio Callaway conversion succeeds,35,14,0.000,1.000
4,12:26,,,CLE 35,Greg Joseph kicks off 58 yards returned by Derwin James for 20 yards (tackle by Dontrell Hilliard),35,14,0.000,-0.740
4,12:22,1,10,LAC 27,Melvin Gordon right guard for 5 yards (tackle by Emmanuel Ogbah),35,14,0.740,0.870
4,11:38,2,5,LAC 32,Melvin Gordon left guard for 7 yards (tackle by Jamie Collins),35,14,0.870,1.530
4,10:57,1,10,LAC 39,Austin Ekeler left guard for 20 yards (tackle by Damarious Randall),35,14,1.530,2.850
4,10:09,1,10,CLE 41,Melvin Gordon right tackle for 9 yards (tackle by Denzel Ward),35,14,2.850,3.520
4,9:28,2,1,CLE 32,Melvin Gordon left guard for 15 yards (tackle by Damarious Randall). Penalty on Damarious Randall: Face Mask (15 Yards) 9 yards Penalty on Emmanuel Ogbah: Face Mask (15 Yards) (Declined),35,14,3.520,5.370
4,8:56,1,8,CLE 8,Austin Ekeler right guard for 1 yard (tackle by Emmanuel Ogbah),35,14,5.370,4.760
4,8:13,2,7,CLE 7,Melvin Gordon right guard for -2 yards (tackle by T.J. Carrie),35,14,4.760,3.360
4,7:30,3,9,CLE 9,Philip Rivers pass incomplete short middle intended for Melvin Gordon is intercepted by Christian Kirksey at CLE-4 and returned for 4 yards. Penalty on Trevon Coley: Unnecessary Roughness 4 yards,35,14,3.360,0.380
4,7:24,1,10,CLE 4,Duke Johnson left guard for 13 yards (tackle by Melvin Ingram and Brandon Mebane),35,14,-0.380,-0.060
4,6:57,1,10,CLE 17,Baker Mayfield pass incomplete short middle intended for David Njoku is intercepted by Desmond King at CLE-25,35,14,-0.060,-3.910
4,6:52,1,10,CLE 25,Tyrell Williams right end for 1 yard (tackle by Jabrill Peppers). Penalty on Sean Culkin: Offensive Holding 10 yards,35,14,3.910,3.310
4,6:26,1,19,CLE 34,Justin Jackson left guard for 1 yard (tackle by Larry Ogunjobi),35,14,3.310,2.280
4,5:43,2,18,CLE 33,Justin Jackson left guard for -1 yards (tackle by Trevon Coley),35,14,2.280,1.490
4,5:01,3,19,CLE 34,Geno Smith pass complete short right to Justin Jackson for 8 yards (tackle by Larry Ogunjobi),35,14,1.490,1.740
4,4:19,4,11,CLE 26,Mike Badgley 44 yard field goal good,38,14,1.740,3.000
4,4:15,,,LAC 35,Mike Badgley kicks off 65 yards touchback,38,14,0.000,-0.610
4,4:15,1,10,CLE 25,Baker Mayfield sacked by Corey Liuget for -6 yards,38,14,0.610,-0.810
4,3:34,2,16,CLE 19,Duke Johnson left tackle for 23 yards (tackle by Derwin James),38,14,-0.810,1.730
4,3:02,1,10,CLE 42,Baker Mayfield pass complete short right to Damion Ratley for 10 yards (tackle by Trevor Williams),38,14,1.730,2.390
4,2:35,1,10,LAC 48,Baker Mayfield pass complete short middle to David Njoku for 5 yards (tackle by Rayshawn Jenkins),38,14,2.390,2.520
4,2:15,2,5,LAC 43,Baker Mayfield pass incomplete short right intended for David Njoku,38,14,2.520,1.820
4,2:09,3,5,LAC 43,Baker Mayfield pass incomplete short right intended for Damion Ratley,38,14,1.820,0.400
4,2:04,,,,Timeout #1 by Cleveland Browns,38,14,,
4,2:04,4,5,LAC 43,Baker Mayfield pass incomplete short left intended for Jarvis Landry,38,14,0.400,-1.800
4,1:58,1,10,LAC 43,Justin Jackson right guard for 4 yards (tackle by Jabrill Peppers and Christian Kirksey),38,14,1.800,1.790
4,1:13,2,6,LAC 47,Geno Smith kneels for -1 yards,38,14,1.790,0.960
4,0:35,3,7,LAC 46,Geno Smith kneels for -1 yards,38,14,0.960,-0.390